"Province","YEARMODA","DaySeq","TEMP","AH"
"Yunnan",2019-01-01,1,9.50869565217391,7.22103835644566
"Yunnan",2019-01-02,2,10.4565217391304,7.27386451337019
"Yunnan",2019-01-03,3,11.3695652173913,7.04567139160173
"Yunnan",2019-01-04,4,11.0869565217391,6.70547539916224
"Yunnan",2019-01-05,5,11.3826086956522,6.40676806195627
"Yunnan",2019-01-06,6,13.3,7.25453901219893
"Yunnan",2019-01-07,7,13.8304347826087,8.6622200868725
"Yunnan",2019-01-08,8,10.3260869565217,8.84590218230639
"Yunnan",2019-01-09,9,11.6652173913043,8.30508136300138
"Yunnan",2019-01-10,10,12.0434782608696,7.93763916338734
"Yunnan",2019-01-11,11,12.2173913043478,7.4806190080198
"Yunnan",2019-01-12,12,12.4652173913043,7.11100879726914
"Yunnan",2019-01-13,13,12.4521739130435,7.06224802321763
"Yunnan",2019-01-14,14,12.3086956521739,7.38536360254389
"Yunnan",2019-01-15,15,10.5739130434783,7.23897168517539
"Yunnan",2019-01-16,16,9.58260869565217,6.23609182851318
"Yunnan",2019-01-17,17,10.8347826086957,6.69885705052925
"Yunnan",2019-01-18,18,12.7608695652174,7.5117556724303
"Yunnan",2019-01-19,19,12.2608695652174,7.04291699909085
"Yunnan",2019-01-20,20,10.8869565217391,6.93825234681704
"Yunnan",2019-01-21,21,10.3391304347826,7.22331715651976
"Yunnan",2019-01-22,22,11.1826086956522,7.36517646536095
"Yunnan",2019-01-23,23,12.0130434782609,6.66816487871319
"Yunnan",2019-01-24,24,12.3739130434783,5.96201019946148
"Yunnan",2019-01-25,25,11.4304347826087,6.22029804629209
"Yunnan",2019-01-26,26,12.3347826086957,6.70252841427213
"Yunnan",2019-01-27,27,13.1217391304348,6.89503871693199
"Yunnan",2019-01-28,28,13.7173913043478,7.3925115126662
"Yunnan",2019-01-29,29,13.8347826086957,8.1363655633502
"Yunnan",2019-01-30,30,11.9173913043478,7.16030267338523
"Yunnan",2019-01-31,31,11.4608695652174,5.99211781143168
"Yunnan",2019-02-01,32,13.6086956521739,6.46269735744144
"Yunnan",2019-02-02,33,14.4304347826087,6.29587708362444
"Yunnan",2019-02-03,34,13.4826086956522,5.89171237234943
"Yunnan",2019-02-04,35,13.1304347826087,5.53169534928204
"Yunnan",2019-02-05,36,13.4304347826087,5.1924567614614
"Yunnan",2019-02-06,37,13.8869565217391,5.03044945807337
"Yunnan",2019-02-07,38,14.5913043478261,5.34946831081494
"Yunnan",2019-02-08,39,16.1260869565217,5.63450107287401
"Yunnan",2019-02-09,40,16.6173913043478,6.55684805640783
"Yunnan",2019-02-10,41,15.9608695652174,7.62545136651684
