"Province","YEARMODA","DaySeq","TEMP","AH"
"Inner Mongolia",2019-01-01,1,-16.7787878787879,0.804594320989614
"Inner Mongolia",2019-01-02,2,-14.9636363636364,0.909696644660313
"Inner Mongolia",2019-01-03,3,-15.5878787878788,0.910020534568809
"Inner Mongolia",2019-01-04,4,-16.2818181818182,0.682252645854334
"Inner Mongolia",2019-01-05,5,-15.3090909090909,0.69381518684445
"Inner Mongolia",2019-01-06,6,-14.5363636363636,0.839079589701232
"Inner Mongolia",2019-01-07,7,-15.5606060606061,0.773889657611866
"Inner Mongolia",2019-01-08,8,-14.7818181818182,0.724818227036477
"Inner Mongolia",2019-01-09,9,-10.7545454545455,0.922240388910886
"Inner Mongolia",2019-01-10,10,-10.9878787878788,1.15006395067055
"Inner Mongolia",2019-01-11,11,-10.3515151515152,1.2643147498843
"Inner Mongolia",2019-01-12,12,-10.3757575757576,1.24159859748485
"Inner Mongolia",2019-01-13,13,-10.8,1.13505844409476
"Inner Mongolia",2019-01-14,14,-14.5090909090909,0.801512616692429
"Inner Mongolia",2019-01-15,15,-16.5424242424242,0.489556633133201
"Inner Mongolia",2019-01-16,16,-13.4878787878788,0.591499638113952
"Inner Mongolia",2019-01-17,17,-12.3060606060606,0.743223352155449
"Inner Mongolia",2019-01-18,18,-11.6636363636364,0.914984985435009
"Inner Mongolia",2019-01-19,19,-12.2090909090909,0.942974911382011
"Inner Mongolia",2019-01-20,20,-10.4272727272727,0.872292762652769
"Inner Mongolia",2019-01-21,21,-8.52121212121212,1.09729427075282
"Inner Mongolia",2019-01-22,22,-7.9969696969697,1.093831928129
"Inner Mongolia",2019-01-23,23,-9.02727272727273,0.935429337837408
"Inner Mongolia",2019-01-24,24,-10.7666666666667,0.954545611415472
"Inner Mongolia",2019-01-25,25,-11.4969696969697,0.887136748652911
"Inner Mongolia",2019-01-26,26,-8.48484848484848,0.98797779658174
"Inner Mongolia",2019-01-27,27,-9.63636363636364,0.948599846918126
"Inner Mongolia",2019-01-28,28,-7.8,0.945502555248083
"Inner Mongolia",2019-01-29,29,-7.63636363636364,1.09015701840192
"Inner Mongolia",2019-01-30,30,-15.8363636363636,0.463651515628387
"Inner Mongolia",2019-01-31,31,-12.8757575757576,0.569149480435037
"Inner Mongolia",2019-02-01,32,-8.02424242424242,0.788487799543848
"Inner Mongolia",2019-02-02,33,-9.02727272727273,0.903968000940441
"Inner Mongolia",2019-02-03,34,-14.6121212121212,0.776860557344883
"Inner Mongolia",2019-02-04,35,-12.7484848484848,0.84930627689516
"Inner Mongolia",2019-02-05,36,-14.1727272727273,0.819051528133335
"Inner Mongolia",2019-02-06,37,-20,0.494800542728409
"Inner Mongolia",2019-02-07,38,-18.9757575757576,0.38336238753026
"Inner Mongolia",2019-02-08,39,-17.0757575757576,0.55788395694614
"Inner Mongolia",2019-02-09,40,-16.8,0.606820189612742
"Inner Mongolia",2019-02-10,41,-14.6818181818182,0.820038431806477
"Inner Mongolia",2019-02-11,42,-16.0151515151515,0.73703969817959
"Inner Mongolia",2019-02-12,43,-15.9878787878788,0.702434222852455
"Inner Mongolia",2019-02-13,44,-13.9181818181818,0.776723699384766
"Inner Mongolia",2019-02-14,45,-14.6272727272727,0.919820370814286
"Inner Mongolia",2019-02-15,46,-15.8848484848485,0.753915267726733
"Inner Mongolia",2019-02-16,47,-13.7181818181818,0.829237789377122
"Inner Mongolia",2019-02-17,48,-10.9666666666667,0.96270055066534
"Inner Mongolia",2019-02-18,49,-9.40909090909091,1.20088198029403
"Inner Mongolia",2019-02-19,50,-9.59393939393939,1.160527657701
"Inner Mongolia",2019-02-20,51,-7.10909090909091,1.18394260370701
"Inner Mongolia",2019-02-21,52,-4.52424242424242,1.30960751029579
"Inner Mongolia",2019-02-22,53,-3.78484848484849,1.48413412813186
"Inner Mongolia",2019-02-23,54,-2.37272727272727,1.49947699301165
"Inner Mongolia",2019-02-24,55,-4.29090909090909,1.36727670321664
"Inner Mongolia",2019-02-25,56,-4.62121212121212,1.66782776089959
"Inner Mongolia",2019-02-26,57,-4.05757575757576,1.79870970381147
