"Province","YEARMODA","DaySeq","TEMP","AH"
"Beijing",2019-01-01,1,-5.2,1.18682741868058
"Beijing",2019-01-02,2,-5.4,1.25931410259122
"Beijing",2019-01-03,3,-4.5,1.44600451404085
"Beijing",2019-01-04,4,-2.7,0.735260139929866
"Beijing",2019-01-05,5,-5.2,0.833805098676441
"Beijing",2019-01-06,6,-6.5,1.26375526071691
"Beijing",2019-01-07,7,-2.2,0.923890213491227
"Beijing",2019-01-08,8,-6.4,0.875374304725849
"Beijing",2019-01-09,9,-6.3,1.13325620473274
"Beijing",2019-01-10,10,-3.1,1.45299398011463
"Beijing",2019-01-11,11,-2.8,1.695569252614
"Beijing",2019-01-12,12,-3.6,2.01687566358499
"Beijing",2019-01-13,13,-2.1,1.44588636998727
"Beijing",2019-01-14,14,-1.6,1.17186697747556
"Beijing",2019-01-15,15,-5.4,0.599831190971083
"Beijing",2019-01-16,16,-4.2,0.657407575251806
"Beijing",2019-01-17,17,-1.8,0.671958075855896
"Beijing",2019-01-18,18,0.3,0.970383769540199
"Beijing",2019-01-19,19,1.2,1.10051679639577
"Beijing",2019-01-20,20,2.7,0.792768821242854
"Beijing",2019-01-21,21,4.7,0.806147584739101
"Beijing",2019-01-22,22,3.1,1.11977589235203
"Beijing",2019-01-23,23,2.9,1.71337119089269
"Beijing",2019-01-24,24,0.1,2.15353072815838
"Beijing",2019-01-25,25,-0.1,0.862145243761289
"Beijing",2019-01-26,26,-1.2,1.16930806882724
"Beijing",2019-01-27,27,1.9,0.927759835550805
"Beijing",2019-01-28,28,0.4,0.772685660072714
"Beijing",2019-01-29,29,-0.4,1.3351105125337
"Beijing",2019-01-30,30,-1.7,0.603403558055848
"Beijing",2019-01-31,31,-5.3,0.473992385189676
"Beijing",2019-02-01,32,-3.7,0.976964576097172
"Beijing",2019-02-02,33,-0.8,2.86341471611515
"Beijing",2019-02-03,34,1.1,1.0459640023748
"Beijing",2019-02-04,35,-2.7,2.39059990851514
"Beijing",2019-02-05,36,-1.3,2.0786246963822
"Beijing",2019-02-06,37,-4.3,1.25524463457312
"Beijing",2019-02-07,38,-6.8,0.520904479852683
"Beijing",2019-02-08,39,-5.1,0.667123494856843
"Beijing",2019-02-09,40,-5.7,0.703714162917782
"Beijing",2019-02-10,41,-6.2,0.856925075336034
"Beijing",2019-02-11,42,-1.7,0.93096548957188
"Beijing",2019-02-12,43,-5.4,1.72658591434218
"Beijing",2019-02-13,44,-3.4,1.00947461165317
"Beijing",2019-02-14,45,-4.4,2.56025700098303
"Beijing",2019-02-15,46,-3.8,1.12985369084275
"Beijing",2019-02-16,47,-2.2,0.8781118695795
"Beijing",2019-02-17,48,1.4,1.07291733957572
"Beijing",2019-02-18,49,1.4,1.48927332209764
"Beijing",2019-02-19,50,1.3,2.2638071008889
"Beijing",2019-02-20,51,1.8,1.52484191276211
"Beijing",2019-02-21,52,3.6,2.14246212202121
"Beijing",2019-02-22,53,3.7,2.00722086078163
"Beijing",2019-02-23,54,5.2,2.12785917253019
"Beijing",2019-02-24,55,5.6,1.71096529588992
"Beijing",2019-02-25,56,4.8,1.8174994376743
"Beijing",2019-02-26,57,3.9,2.66593137002679
"Beijing",2019-02-27,58,5.4,2.79804198318393
"Beijing",2019-02-28,59,6.2,2.58121570109315
"Beijing",2019-03-01,60,6.2,3.13275751756605
"Beijing",2019-03-02,61,7.3,3.21534018105111
"Beijing",2019-03-03,62,6.8,3.63260122328734
"Beijing",2019-03-04,63,11.1,3.03079971737318
