"Province","YEARMODA","DaySeq","TEMP","AH"
"Sichuan",2019-01-01,1,-0.00769230769230814,3.35783587201017
"Sichuan",2019-01-02,2,0.903846153846154,3.39222119755208
"Sichuan",2019-01-03,3,1.16923076923077,3.46705589413402
"Sichuan",2019-01-04,4,1.4,3.32911721599515
"Sichuan",2019-01-05,5,2.75,3.18138624406011
"Sichuan",2019-01-06,6,3.43846153846154,3.50227382650578
"Sichuan",2019-01-07,7,3.73461538461538,3.37504344571077
"Sichuan",2019-01-08,8,2.31153846153846,3.56688077703452
"Sichuan",2019-01-09,9,1.87307692307692,3.62865237761634
"Sichuan",2019-01-10,10,1.62307692307692,3.70867575079322
"Sichuan",2019-01-11,11,2.14615384615385,3.28567385882417
"Sichuan",2019-01-12,12,2.37307692307692,3.42149222446473
"Sichuan",2019-01-13,13,3.20769230769231,3.59050763870311
"Sichuan",2019-01-14,14,3.66153846153846,3.53621212169883
"Sichuan",2019-01-15,15,0.730769230769231,3.17873174004543
"Sichuan",2019-01-16,16,0.711538461538461,3.20530217635135
"Sichuan",2019-01-17,17,2.73076923076923,3.50936972533956
"Sichuan",2019-01-18,18,3.6,3.64901705601939
"Sichuan",2019-01-19,19,2.87307692307692,3.35969974109019
"Sichuan",2019-01-20,20,1.76923076923077,3.27207960504424
"Sichuan",2019-01-21,21,0.838461538461539,3.01853325474135
"Sichuan",2019-01-22,22,2.12307692307692,3.32129764808246
"Sichuan",2019-01-23,23,3.72692307692308,3.55595409122334
"Sichuan",2019-01-24,24,4.25769230769231,3.63816830512962
"Sichuan",2019-01-25,25,4.57307692307692,3.82508700658896
"Sichuan",2019-01-26,26,4.18461538461538,4.22632687385018
"Sichuan",2019-01-27,27,4.76538461538462,4.30235762156145
"Sichuan",2019-01-28,28,4.95,3.91629710680163
"Sichuan",2019-01-29,29,4.68461538461538,4.05939653144857
"Sichuan",2019-01-30,30,1.76538461538462,4.02240328708211
"Sichuan",2019-01-31,31,2.80769230769231,3.78670326687139
"Sichuan",2019-02-01,32,5.49230769230769,3.87979980912862
"Sichuan",2019-02-02,33,5.91538461538461,3.81797837716422
"Sichuan",2019-02-03,34,4.96923076923077,3.18941014230107
"Sichuan",2019-02-04,35,4.61538461538461,3.41113195644527
"Sichuan",2019-02-05,36,6.54615384615385,3.3473918848833
"Sichuan",2019-02-06,37,7.51538461538462,3.6357775761231
"Sichuan",2019-02-07,38,7.93846153846154,3.84009597059507
"Sichuan",2019-02-08,39,8.05,3.7418935031346
"Sichuan",2019-02-09,40,6.31538461538462,3.61510180715028
"Sichuan",2019-02-10,41,2.51923076923077,3.46388546378353
"Sichuan",2019-02-11,42,4.83846153846154,3.55977030020053
"Sichuan",2019-02-12,43,5.87307692307692,3.62929894939032
