"Province","YEARMODA","DaySeq","TEMP","AH"
"Tianjin",2019-01-01,1,-4,1.3408700619107
"Tianjin",2019-01-02,2,-3.8,1.60121406101938
"Tianjin",2019-01-03,3,-2.15,2.10506605998235
"Tianjin",2019-01-04,4,-3.1,0.928580120752951
"Tianjin",2019-01-05,5,-2.55,1.07069624179621
"Tianjin",2019-01-06,6,-3.4,1.61224263959109
"Tianjin",2019-01-07,7,-1.7,1.11845159511066
"Tianjin",2019-01-08,8,-3.5,1.01439458790092
"Tianjin",2019-01-09,9,-1.6,1.10392300555961
"Tianjin",2019-01-10,10,-0.6,2.21832066281648
"Tianjin",2019-01-11,11,-1.1,3.23804952579849
"Tianjin",2019-01-12,12,-2.85,3.64940711488904
"Tianjin",2019-01-13,13,-2.05,2.63192267844559
"Tianjin",2019-01-14,14,-0.05,1.75603499145546
"Tianjin",2019-01-15,15,-5.55,0.651212738264243
"Tianjin",2019-01-16,16,-2.5,0.953486336933384
"Tianjin",2019-01-17,17,-0.55,1.05993325576793
"Tianjin",2019-01-18,18,0.4,1.86270861484469
"Tianjin",2019-01-19,19,0.85,1.28003116182295
"Tianjin",2019-01-20,20,-0.15,1.06980851180589
"Tianjin",2019-01-21,21,2.4,1.02100356865253
"Tianjin",2019-01-22,22,3.45,1.21933270056786
"Tianjin",2019-01-23,23,3.15,2.37653285495962
"Tianjin",2019-01-24,24,0.3,3.13855931474065
"Tianjin",2019-01-25,25,-0.3,1.04046265469566
"Tianjin",2019-01-26,26,-0.05,1.68656946839597
"Tianjin",2019-01-27,27,1.8,1.42885366285802
"Tianjin",2019-01-28,28,1.25,1.07272368921928
"Tianjin",2019-01-29,29,1.85,2.22712585260282
"Tianjin",2019-01-30,30,0.65,0.896855803562048
"Tianjin",2019-01-31,31,-2.85,0.815212790519498
"Tianjin",2019-02-01,32,0.9,2.01600958290438
"Tianjin",2019-02-02,33,0.4,3.71690945614313
"Tianjin",2019-02-03,34,2.75,1.50499620437512
"Tianjin",2019-02-04,35,0.85,3.01563040389424
"Tianjin",2019-02-05,36,-1.9,2.58211335860136
"Tianjin",2019-02-06,37,-4.25,1.26019328719035
"Tianjin",2019-02-07,38,-6.55,0.580985384458856
"Tianjin",2019-02-08,39,-4.45,0.802799450025417
"Tianjin",2019-02-09,40,-5.4,0.820365135732815
"Tianjin",2019-02-10,41,-4.45,1.13328608254839
"Tianjin",2019-02-11,42,-1.65,2.41549828538924
"Tianjin",2019-02-12,43,-4.35,2.60288872344296
"Tianjin",2019-02-13,44,-3.4,2.15548808401853
"Tianjin",2019-02-14,45,-3.6,2.75010771041952
"Tianjin",2019-02-15,46,-3,1.24865887653784
"Tianjin",2019-02-16,47,-1.55,0.926374707642751
"Tianjin",2019-02-17,48,1.5,1.22778058841719
"Tianjin",2019-02-18,49,2.05,2.31451455722732
"Tianjin",2019-02-19,50,-0.2,3.86691816262599
"Tianjin",2019-02-20,51,1.15,2.38120291789474
"Tianjin",2019-02-21,52,2.3,3.37589593356631
"Tianjin",2019-02-22,53,4.4,3.00007262699649
"Tianjin",2019-02-23,54,5.6,2.5501127504085
"Tianjin",2019-02-24,55,5.55,2.99810778144374
