"Province","YEARMODA","DaySeq","TEMP","AH"
"Shanxi",2019-01-01,1,-9.21,1.25236995971199
"Shanxi",2019-01-02,2,-7.2,1.43584321733097
"Shanxi",2019-01-03,3,-6.42,1.73216035418652
"Shanxi",2019-01-04,4,-6.32,1.51273968795113
"Shanxi",2019-01-05,5,-6.98,1.70603604085415
"Shanxi",2019-01-06,6,-5.97,1.94152846612463
"Shanxi",2019-01-07,7,-5.43,1.61315719484067
"Shanxi",2019-01-08,8,-6.05,1.19954886953117
"Shanxi",2019-01-09,9,-6.73,1.58271238706465
"Shanxi",2019-01-10,10,-5.08,2.05230870614169
"Shanxi",2019-01-11,11,-5.61,1.95624372542316
"Shanxi",2019-01-12,12,-4.84,1.68567620344223
"Shanxi",2019-01-13,13,-3.61,1.56235620711574
"Shanxi",2019-01-14,14,-3.81,1.3147748601537
"Shanxi",2019-01-15,15,-8.99,0.548850769778772
"Shanxi",2019-01-16,16,-7.53,0.582121775897667
"Shanxi",2019-01-17,17,-5.7,0.751789318720294
"Shanxi",2019-01-18,18,-2.93,1.10824838221014
"Shanxi",2019-01-19,19,-3.78,1.36345226190065
"Shanxi",2019-01-20,20,-6.41,1.01807624287392
"Shanxi",2019-01-21,21,-5.41,0.922013796736008
"Shanxi",2019-01-22,22,-2.69,1.10066848264317
"Shanxi",2019-01-23,23,-2.1,1.05451722833155
"Shanxi",2019-01-24,24,-0.95,1.296216434513
"Shanxi",2019-01-25,25,-2.64,1.63964330210012
"Shanxi",2019-01-26,26,-2.83,1.71615754365509
"Shanxi",2019-01-27,27,-2.1,1.5910482352442
"Shanxi",2019-01-28,28,-2.58,1.16718189640467
"Shanxi",2019-01-29,29,-0.59,1.53602550838979
"Shanxi",2019-01-30,30,-2.81,1.74403558159613
"Shanxi",2019-01-31,31,-7.44,1.61890946459008
"Shanxi",2019-02-01,32,-4.42,1.58549962081044
"Shanxi",2019-02-02,33,-0.25,1.48012231205995
"Shanxi",2019-02-03,34,-2.51,1.08245110113802
"Shanxi",2019-02-04,35,0.33,1.51834479580383
"Shanxi",2019-02-05,36,0.74,1.62846504112003
"Shanxi",2019-02-06,37,-1.96,1.57785001491244
"Shanxi",2019-02-07,38,-6.77,1.22832238976664
"Shanxi",2019-02-08,39,-6.38,1.31379435056695
