"Province","YEARMODA","DaySeq","TEMP","AH"
"Guangdong",2019-01-01,1,9.9,7.30247585106808
"Guangdong",2019-01-02,2,10.51875,7.93923677490352
"Guangdong",2019-01-03,3,13.325,9.69016880088607
"Guangdong",2019-01-04,4,15.43125,12.2595667675642
"Guangdong",2019-01-05,5,15.425,12.1089154618883
"Guangdong",2019-01-06,6,14.6125,10.7494438384756
"Guangdong",2019-01-07,7,15.90625,12.0362826554688
"Guangdong",2019-01-08,8,14.61875,10.7305012427759
"Guangdong",2019-01-09,9,14.4,10.4244264614988
"Guangdong",2019-01-10,10,16.5875,12.5059792010606
"Guangdong",2019-01-11,11,17.5,13.5334193032532
"Guangdong",2019-01-12,12,17.8,13.0873040308848
"Guangdong",2019-01-13,13,17.5,12.7408864138018
"Guangdong",2019-01-14,14,17.95,12.7515055376862
"Guangdong",2019-01-15,15,15.56,10.4410887438308
"Guangdong",2019-01-16,16,12.80625,8.47189528437858
"Guangdong",2019-01-17,17,13.24375,8.4972260568969
"Guangdong",2019-01-18,18,14.95625,9.74390867742946
"Guangdong",2019-01-19,19,17.7125,12.019946237508
"Guangdong",2019-01-20,20,16.6875,10.7756438644259
"Guangdong",2019-01-21,21,13.21875,7.8218299481957
"Guangdong",2019-01-22,22,12.44,6.30143720669509
"Guangdong",2019-01-23,23,13.42,6.95501739487098
"Guangdong",2019-01-24,24,15.3133333333333,8.56177394150646
"Guangdong",2019-01-25,25,17.5333333333333,9.49187343174497
"Guangdong",2019-01-26,26,15.94,8.04942206501808
"Guangdong",2019-01-27,27,15.1866666666667,8.71151934051839
"Guangdong",2019-01-28,28,16.58,10.1194272184038
"Guangdong",2019-01-29,29,18.15625,11.2623684602703
"Guangdong",2019-01-30,30,19.63125,12.4387842339599
"Guangdong",2019-01-31,31,18.7125,11.5283112591432
"Guangdong",2019-02-01,32,15.3625,9.15730317840945
"Guangdong",2019-02-02,33,18.725,12.9473107124467
"Guangdong",2019-02-03,34,20.9,15.174865580159
"Guangdong",2019-02-04,35,20.4,13.8895206397185
"Guangdong",2019-02-05,36,20.24375,15.0238762600717
"Guangdong",2019-02-06,37,22.4,15.4706253553459
"Guangdong",2019-02-07,38,22.675,16.1982327086086
"Guangdong",2019-02-08,39,20.9,14.9547289522382
"Guangdong",2019-02-09,40,16.98125,13.0911560298661
"Guangdong",2019-02-10,41,14.94375,11.6758689751725
"Guangdong",2019-02-11,42,13.54375,10.0241253718483
"Guangdong",2019-02-12,43,17.88125,12.418176944206
"Guangdong",2019-02-13,44,19.43125,13.7357150469155
"Guangdong",2019-02-14,45,19.2,13.7563328766824
"Guangdong",2019-02-15,46,19.6,14.5781332796692
"Guangdong",2019-02-16,47,18.525,13.5234814911307
"Guangdong",2019-02-17,48,15.66875,12.0674998661623
"Guangdong",2019-02-18,49,15.90625,12.984735466426
"Guangdong",2019-02-19,50,18.34,14.6407301316563
"Guangdong",2019-02-20,51,21.4625,16.9393486282454
"Guangdong",2019-02-21,52,17.88125,13.9384621816629
"Guangdong",2019-02-22,53,15.65,10.5230178287107
"Guangdong",2019-02-23,54,12.35,10.3040837294199
"Guangdong",2019-02-24,55,12.58,9.30210390419648
"Guangdong",2019-02-25,56,13.73125,10.3835486044076
"Guangdong",2019-02-26,57,16.33125,12.5898831063213
"Guangdong",2019-02-27,58,19.10625,14.7921957956721
"Guangdong",2019-02-28,59,18.40625,13.9354604461213
"Guangdong",2019-03-01,60,19.9875,14.9634464553932
"Guangdong",2019-03-02,61,20.7875,16.0601678298856
"Guangdong",2019-03-03,62,18.6625,13.0414835142151
"Guangdong",2019-03-04,63,19.3,13.6669932392005
"Guangdong",2019-03-05,64,19.73125,15.9185935346383
"Guangdong",2019-03-06,65,17.4,13.8055360829306
"Guangdong",2019-03-07,66,14.60625,11.9644895426462
"Guangdong",2019-03-08,67,15.11875,12.3178826176379
"Guangdong",2019-03-09,68,15.60625,12.7986870309959
"Guangdong",2019-03-10,69,15.53125,11.7144703325476
"Guangdong",2019-03-11,70,17.3666666666667,11.0059483030487
"Guangdong",2019-03-12,71,19.44375,11.4392411925192
"Guangdong",2019-03-13,72,20.85,13.1401606539077
"Guangdong",2019-03-14,73,18.75,14.1835838214601
"Guangdong",2019-03-15,74,17.725,11.7497016079186
"Guangdong",2019-03-16,75,19.2266666666667,11.330894817788
"Guangdong",2019-03-17,76,19.65,13.4064538329233
"Guangdong",2019-03-18,77,20,15.1820764725143
"Guangdong",2019-03-19,78,22.78125,16.7518905571206
"Guangdong",2019-03-20,79,23.40625,18.2736388314145
"Guangdong",2019-03-21,80,24.94375,18.4791274978301
"Guangdong",2019-03-22,81,21.7875,16.91213527295
"Guangdong",2019-03-23,82,15.0125,11.8169359516241
"Guangdong",2019-03-24,83,14.9125,11.8653774700773
"Guangdong",2019-03-25,84,18.1866666666667,13.5645723202277
"Guangdong",2019-03-26,85,21.33125,15.8646794680406
"Guangdong",2019-03-27,86,22.675,17.3950240234364
"Guangdong",2019-03-28,87,23.84375,18.7217455494983
"Guangdong",2019-03-29,88,22.0625,17.9498793905862
"Guangdong",2019-03-30,89,23.3875,16.9970648023933
"Guangdong",2019-03-31,90,21,15.9563652903187
"Guangdong",2019-04-01,91,18.175,13.6487331823775
"Guangdong",2019-04-02,92,20.8,15.3099583517792
"Guangdong",2019-04-03,93,21.60625,16.4570401414878
"Guangdong",2019-04-04,94,20.3125,15.9176787053689
"Guangdong",2019-04-05,95,22.53125,16.6003864229863
"Guangdong",2019-04-06,96,24.15,18.0938057694065
"Guangdong",2019-04-07,97,25.43125,19.5724464023959
"Guangdong",2019-04-08,98,26.3266666666667,20.1465109456375
"Guangdong",2019-04-09,99,26.4133333333333,20.3623585749074
"Guangdong",2019-04-10,100,26.025,20.4204581046978
"Guangdong",2019-04-11,101,21.6466666666667,17.180321469427
"Guangdong",2019-04-12,102,19.4625,15.9401565525514
"Guangdong",2019-04-13,103,21.1625,17.7554935213452
"Guangdong",2019-04-14,104,22.04375,17.9642448383686
"Guangdong",2019-04-15,105,20.625,16.1767119353493
"Guangdong",2019-04-16,106,21.15,16.8716475099556
"Guangdong",2019-04-17,107,23.64375,17.3752520643473
"Guangdong",2019-04-18,108,23.75,19.7783807290013
"Guangdong",2019-04-19,109,23.5,20.0688905240123
"Guangdong",2019-04-20,110,24.29375,20.6772892765607
"Guangdong",2019-04-21,111,25.36875,22.0376006922739
"Guangdong",2019-04-22,112,25.14375,21.4864929215054
"Guangdong",2019-04-23,113,26.5125,21.8872941371008
"Guangdong",2019-04-24,114,27.43125,21.9373934316367
"Guangdong",2019-04-25,115,27.5125,21.9049561342563
