"Province","YEARMODA","DaySeq","TEMP","AH"
"Xinjiang",2019-01-01,1,-12.1633333333333,1.33464935341456
"Xinjiang",2019-01-02,2,-12.3066666666667,1.30279305845764
"Xinjiang",2019-01-03,3,-11.76,1.32814906093164
"Xinjiang",2019-01-04,4,-11.73,1.35426293628338
"Xinjiang",2019-01-05,5,-11.38,1.43500617301411
"Xinjiang",2019-01-06,6,-11.9533333333333,1.34304794512585
"Xinjiang",2019-01-07,7,-12.2233333333333,1.30215289801761
"Xinjiang",2019-01-08,8,-12.5866666666667,1.27313185145365
"Xinjiang",2019-01-09,9,-11.45,1.4000349018969
"Xinjiang",2019-01-10,10,-11.0866666666667,1.50163065950078
"Xinjiang",2019-01-11,11,-10.9966666666667,1.48665192477856
"Xinjiang",2019-01-12,12,-10.0466666666667,1.55832989409214
"Xinjiang",2019-01-13,13,-10.5533333333333,1.51665189390127
"Xinjiang",2019-01-14,14,-10.59,1.44828711473541
"Xinjiang",2019-01-15,15,-9.91333333333333,1.4867392580368
"Xinjiang",2019-01-16,16,-8.58333333333333,1.7301714050306
"Xinjiang",2019-01-17,17,-8.07333333333333,2.00412993938263
"Xinjiang",2019-01-18,18,-8.39666666666667,1.95758897264778
"Xinjiang",2019-01-19,19,-8.15666666666667,1.96142371524962
"Xinjiang",2019-01-20,20,-8.51,1.8614193066553
"Xinjiang",2019-01-21,21,-8.85333333333333,1.88540268460581
"Xinjiang",2019-01-22,22,-8.91333333333333,1.90471218155691
"Xinjiang",2019-01-23,23,-8.91666666666667,1.86166439641829
"Xinjiang",2019-01-24,24,-8.68666666666667,1.87017424955165
"Xinjiang",2019-01-25,25,-8.53666666666667,1.91717819355506
"Xinjiang",2019-01-26,26,-9.09666666666667,1.78861521440186
"Xinjiang",2019-01-27,27,-8.72666666666667,1.72050113329965
"Xinjiang",2019-01-28,28,-10.1933333333333,1.47081411651296
"Xinjiang",2019-01-29,29,-11.1633333333333,1.18484155998532
"Xinjiang",2019-01-30,30,-12.8566666666667,1.03768620914154
"Xinjiang",2019-01-31,31,-12.0133333333333,1.12760702885471
"Xinjiang",2019-02-01,32,-10.14,1.3838817314381
"Xinjiang",2019-02-02,33,-10.7,1.31158432426887
"Xinjiang",2019-02-03,34,-10.3233333333333,1.33010292131319
"Xinjiang",2019-02-04,35,-8.77,1.47616161275082
"Xinjiang",2019-02-05,36,-7.78333333333333,1.57364563446617
"Xinjiang",2019-02-06,37,-6.73,1.58998781279128
"Xinjiang",2019-02-07,38,-10.1533333333333,1.296220234606
