"Province","YEARMODA","DaySeq","TEMP","AH"
"Jiangxi",2019-01-01,1,1.34,4.86369115796905
"Jiangxi",2019-01-02,2,2.38,5.29056864906125
"Jiangxi",2019-01-03,3,5.13,6.21925206374224
"Jiangxi",2019-01-04,4,6.3,7.1203961623346
"Jiangxi",2019-01-05,5,5.87,6.85278105104687
"Jiangxi",2019-01-06,6,6.7,6.68733975743422
"Jiangxi",2019-01-07,7,6.1,6.99236071148248
"Jiangxi",2019-01-08,8,5.25,6.50669878489487
"Jiangxi",2019-01-09,9,5.22,6.60785335140684
"Jiangxi",2019-01-10,10,5.99,6.99796091711542
"Jiangxi",2019-01-11,11,5.89,6.88649599748846
"Jiangxi",2019-01-12,12,7.27,6.78762097947836
"Jiangxi",2019-01-13,13,7.9,6.91524831099556
"Jiangxi",2019-01-14,14,7.97,7.56078605449722
"Jiangxi",2019-01-15,15,5.72,6.40737886739603
"Jiangxi",2019-01-16,16,3.69,5.60840588016033
"Jiangxi",2019-01-17,17,4.76,5.57627925036511
"Jiangxi",2019-01-18,18,7.64,6.62734538845578
"Jiangxi",2019-01-19,19,9.13,7.9694643349485
"Jiangxi",2019-01-20,20,6.55,6.45684989008625
"Jiangxi",2019-01-21,21,5.66,5.34059547171214
"Jiangxi",2019-01-22,22,5.55,4.79660620345155
"Jiangxi",2019-01-23,23,7,4.5776715798287
"Jiangxi",2019-01-24,24,10.6,5.3549403918458
"Jiangxi",2019-01-25,25,11.11,5.98079583932598
"Jiangxi",2019-01-26,26,7.97,4.9061032972592
"Jiangxi",2019-01-27,27,9.35,5.50075931063098
"Jiangxi",2019-01-28,28,10.89,6.66742961298852
"Jiangxi",2019-01-29,29,11.38,7.3662544864861
"Jiangxi",2019-01-30,30,13.17,8.2949333626056
"Jiangxi",2019-01-31,31,6.55,6.06078310821709
"Jiangxi",2019-02-01,32,6.89,5.49941548546771
"Jiangxi",2019-02-02,33,13.6,8.99714235099703
"Jiangxi",2019-02-03,34,13.04,8.76547668131657
"Jiangxi",2019-02-04,35,11.2,7.1453687947033
