"Province","YEARMODA","DaySeq","TEMP","AH"
"Hebei",2019-01-01,1,-8.9,1.19517729625653
"Hebei",2019-01-02,2,-7.92142857142857,1.32189539466803
"Hebei",2019-01-03,3,-6.55714285714286,1.58504186151299
"Hebei",2019-01-04,4,-7.36428571428571,1.07483774304967
"Hebei",2019-01-05,5,-7.1,1.04023746281764
"Hebei",2019-01-06,6,-6.77142857142857,1.32017681466081
"Hebei",2019-01-07,7,-6.45714285714286,1.22448957463879
"Hebei",2019-01-08,8,-7.81428571428571,0.979846739873344
"Hebei",2019-01-09,9,-7.06428571428571,1.10571903225655
"Hebei",2019-01-10,10,-4.08571428571429,1.75229090599239
"Hebei",2019-01-11,11,-4.43571428571429,2.2365851482824
"Hebei",2019-01-12,12,-3.92857142857143,2.50338703802972
"Hebei",2019-01-13,13,-4.10714285714286,2.15243153523066
"Hebei",2019-01-14,14,-4.25714285714286,1.58821913391417
"Hebei",2019-01-15,15,-9.17857142857143,0.572209811652849
"Hebei",2019-01-16,16,-5.97142857142857,0.671164245668453
"Hebei",2019-01-17,17,-3.83571428571429,0.8201418381261
"Hebei",2019-01-18,18,-2.7,1.34042563473562
"Hebei",2019-01-19,19,-3.07857142857143,1.31347949751521
"Hebei",2019-01-20,20,-2.75,1.00685545650961
"Hebei",2019-01-21,21,-0.757142857142857,0.941732273426336
"Hebei",2019-01-22,22,0.328571428571429,1.16449685642942
"Hebei",2019-01-23,23,-0.385714285714286,1.55324555751728
"Hebei",2019-01-24,24,-1.86428571428571,2.0517173433025
"Hebei",2019-01-25,25,-3.96428571428571,1.2504067951684
"Hebei",2019-01-26,26,-3.52142857142857,1.25003394083057
"Hebei",2019-01-27,27,-2.29285714285714,1.36486820461871
"Hebei",2019-01-28,28,-2.69285714285714,1.01255358140101
"Hebei",2019-01-29,29,-0.757142857142857,1.57341406922155
"Hebei",2019-01-30,30,-3.5,0.927999058516753
"Hebei",2019-01-31,31,-5.99285714285714,0.70306710783118
"Hebei",2019-02-01,32,-2.06428571428571,1.31879808542956
"Hebei",2019-02-02,33,-1.64285714285714,2.5723248735921
"Hebei",2019-02-03,34,-1.85,1.47232965988911
"Hebei",2019-02-04,35,-1.72857142857143,1.83447259233121
"Hebei",2019-02-05,36,-2.65,2.1077053143516
"Hebei",2019-02-06,37,-6.72857142857143,1.63161620767043
"Hebei",2019-02-07,38,-9.28571428571429,0.602565095153727
"Hebei",2019-02-08,39,-7.83571428571429,0.843638203134722
"Hebei",2019-02-09,40,-8.93571428571429,0.745141217321933
"Hebei",2019-02-10,41,-7.91428571428571,1.11707732979643
"Hebei",2019-02-11,42,-5.00714285714286,1.65413180850535
"Hebei",2019-02-12,43,-6.40714285714286,1.96949821104553
"Hebei",2019-02-13,44,-6.88571428571429,1.6354599547501
"Hebei",2019-02-14,45,-7.13571428571429,2.14076360300985
"Hebei",2019-02-15,46,-6.94285714285714,1.35304818907024
"Hebei",2019-02-16,47,-6.12142857142857,1.15794592020331
"Hebei",2019-02-17,48,-2.83571428571429,1.40537559211243
"Hebei",2019-02-18,49,-1.55714285714286,2.42558811827905
"Hebei",2019-02-19,50,-2.48571428571429,3.1235886668043
"Hebei",2019-02-20,51,-2.1,2.47319422186172
"Hebei",2019-02-21,52,-0.2,2.68402646853819
"Hebei",2019-02-22,53,1.82142857142857,2.52371097886286
"Hebei",2019-02-23,54,3.63571428571429,2.21724096077157
"Hebei",2019-02-24,55,3.45,2.25139765523323
"Hebei",2019-02-25,56,2.74285714285714,2.14386929388753
"Hebei",2019-02-26,57,2.89285714285714,2.47267151069694
"Hebei",2019-02-27,58,2.97857142857143,2.64894296867535
"Hebei",2019-02-28,59,4.02142857142857,2.93965971706167
"Hebei",2019-03-01,60,5.09285714285714,3.25728968341507
"Hebei",2019-03-02,61,6.36428571428571,3.33073035655298
"Hebei",2019-03-03,62,6.02857142857143,3.72189826313875
"Hebei",2019-03-04,63,7.46428571428571,3.60684198182615
"Hebei",2019-03-05,64,7.34285714285714,2.56042959466141
"Hebei",2019-03-06,65,2.61428571428571,1.93092789088631
