"Province","YEARMODA","DaySeq","TEMP","AH"
"Hubei",2019-01-01,1,0.933333333333333,3.68304568762615
"Hubei",2019-01-02,2,2.57777777777778,4.10590385495917
"Hubei",2019-01-03,3,3.68888888888889,4.95377016140975
"Hubei",2019-01-04,4,3.85555555555556,5.17768355495657
"Hubei",2019-01-05,5,2.83333333333333,4.76637320885658
"Hubei",2019-01-06,6,3.44444444444444,4.71333702629527
"Hubei",2019-01-07,7,3.27777777777778,4.87598960122109
"Hubei",2019-01-08,8,2.75555555555556,4.71543896976974
"Hubei",2019-01-09,9,0.522222222222222,4.75806183520902
"Hubei",2019-01-10,10,1.51111111111111,4.96899426012022
"Hubei",2019-01-11,11,2.5,5.30512062207584
"Hubei",2019-01-12,12,2.72222222222222,5.49304851025586
"Hubei",2019-01-13,13,4.76666666666667,6.00594999143603
"Hubei",2019-01-14,14,4.53333333333333,6.01682275603408
"Hubei",2019-01-15,15,2.76666666666667,3.79788061865605
"Hubei",2019-01-16,16,1.73333333333333,3.32691607729565
"Hubei",2019-01-17,17,3.94444444444444,4.55333475244364
"Hubei",2019-01-18,18,3.85555555555556,5.69786140971228
"Hubei",2019-01-19,19,4.47777777777778,5.65140987258358
"Hubei",2019-01-20,20,4.43333333333333,4.40140632133686
"Hubei",2019-01-21,21,4.92222222222222,3.77876757734653
"Hubei",2019-01-22,22,6.86666666666667,4.12635326287236
"Hubei",2019-01-23,23,8.28888888888889,4.56916775829281
"Hubei",2019-01-24,24,9.1,5.29148693320627
"Hubei",2019-01-25,25,8.11111111111111,4.75582625466775
"Hubei",2019-01-26,26,5.53333333333333,3.5516403506271
"Hubei",2019-01-27,27,5.37777777777778,4.37324656149477
"Hubei",2019-01-28,28,5.13333333333333,5.34878063441557
"Hubei",2019-01-29,29,4.98888888888889,5.77149476891377
"Hubei",2019-01-30,30,3.61111111111111,6.0216140439174
"Hubei",2019-01-31,31,3.04444444444444,5.00075708127698
"Hubei",2019-02-01,32,4.97777777777778,5.47224430301274
"Hubei",2019-02-02,33,6.67777777777778,6.48088771377786
"Hubei",2019-02-03,34,7.76666666666667,5.38296854463406
"Hubei",2019-02-04,35,6.81111111111111,5.21342839063116
"Hubei",2019-02-05,36,8.53333333333333,6.2664739254425
"Hubei",2019-02-06,37,7.83333333333333,7.21903422969867
"Hubei",2019-02-07,38,2.26666666666667,4.90283197567475
"Hubei",2019-02-08,39,-0.166666666666667,4.46904140546105
"Hubei",2019-02-09,40,-0.533333333333333,4.03468731857367
"Hubei",2019-02-10,41,-0.766666666666667,3.86659348948987
"Hubei",2019-02-11,42,1.86666666666667,4.51470050041303
"Hubei",2019-02-12,43,2.55555555555556,5.20218859784994
"Hubei",2019-02-13,44,2.27777777777778,5.23640554661786
"Hubei",2019-02-14,45,1.61111111111111,5.13992573884417
"Hubei",2019-02-15,46,2.84444444444444,5.30102833397448
"Hubei",2019-02-16,47,2.9,4.10443983244799
"Hubei",2019-02-17,48,1.75555555555556,3.65057110722453
"Hubei",2019-02-18,49,0.6,4.40642240747687
"Hubei",2019-02-19,50,3.14444444444444,4.84368174650389
"Hubei",2019-02-20,51,4.58888888888889,5.45238095651015
"Hubei",2019-02-21,52,3.73333333333333,5.6375191557055
"Hubei",2019-02-22,53,5.86666666666667,5.44823782665611
"Hubei",2019-02-23,54,6.9,5.1677714985226
"Hubei",2019-02-24,55,8.07777777777778,5.41587375926958
"Hubei",2019-02-25,56,9.98888888888889,5.75844221941476
"Hubei",2019-02-26,57,7.26666666666667,6.52818956033076
"Hubei",2019-02-27,58,5.97777777777778,6.15157775747019
"Hubei",2019-02-28,59,8.04444444444444,6.26100539434141
"Hubei",2019-03-01,60,7.18888888888889,7.27162482739842
"Hubei",2019-03-02,61,6.25555555555556,6.74526003342266
"Hubei",2019-03-03,62,9.18888888888889,6.64634221398371
"Hubei",2019-03-04,63,10.2111111111111,7.71531681221849
"Hubei",2019-03-05,64,10.7111111111111,8.42163344873087
"Hubei",2019-03-06,65,12.2777777777778,6.422686194791
"Hubei",2019-03-07,66,9.78888888888889,4.28204082198236
"Hubei",2019-03-08,67,8.35555555555556,5.19031808072064
"Hubei",2019-03-09,68,10.5888888888889,6.15400877405266
"Hubei",2019-03-10,69,13.0777777777778,6.58175910169407
"Hubei",2019-03-11,70,13.8777777777778,5.4940276899337
"Hubei",2019-03-12,71,14.9111111111111,5.09261416140124
"Hubei",2019-03-13,72,11.0111111111111,7.53540987028361
"Hubei",2019-03-14,73,13.6333333333333,7.32888966833638
"Hubei",2019-03-15,74,15.0333333333333,6.24104557905223
"Hubei",2019-03-16,75,14.7333333333333,7.2382582919702
"Hubei",2019-03-17,76,13.4888888888889,8.3584571002403
"Hubei",2019-03-18,77,15.0888888888889,8.43993394949223
"Hubei",2019-03-19,78,16.8333333333333,10.0915531332422
"Hubei",2019-03-20,79,20.0333333333333,11.5882242394008
