"Province","YEARMODA","DaySeq","TEMP","AH"
"Macao",2019-01-01,1,11.6,7.88596103507989
"Macao",2019-01-02,2,12.3,8.36846784401378
"Macao",2019-01-03,3,13.9,10.6530424720573
"Macao",2019-01-04,4,16.9,12.8968810853991
"Macao",2019-01-05,5,17.5,13.6367947724936
"Macao",2019-01-06,6,16.7,11.8763334680327
"Macao",2019-01-07,7,17.8,13.0333524148004
"Macao",2019-01-08,8,17.2,12.0768852503345
"Macao",2019-01-09,9,17.3,12.5617115531922
"Macao",2019-01-10,10,18.4,13.773854781267
"Macao",2019-01-11,11,19.2,14.8200188943551
"Macao",2019-01-12,12,19.4,14.7120067656803
"Macao",2019-01-13,13,18.5,14.2986195589093
"Macao",2019-01-14,14,18.5,14.1246319315332
"Macao",2019-01-15,15,18.5,13.3337790798236
"Macao",2019-01-16,16,15.3,9.65966142121876
"Macao",2019-01-17,17,16.2,9.82853994223721
"Macao",2019-01-18,18,16.8,11.0475177182546
"Macao",2019-01-19,19,18.4,13.333594582779
"Macao",2019-01-20,20,19.3,12.884519323128
"Macao",2019-01-21,21,15.8,8.66535945721609
"Macao",2019-01-22,22,14.9,6.94308380886295
"Macao",2019-01-23,23,15.9,8.90747128065
"Macao",2019-01-24,24,17.2,11.2424822694023
"Macao",2019-01-25,25,17.3,11.6928475653395
"Macao",2019-01-26,26,17.9,11.3711855289467
"Macao",2019-01-27,27,17.2,10.7447682106006
"Macao",2019-01-28,28,17.5,11.4608690492324
"Macao",2019-01-29,29,18.4,12.9247815413259
"Macao",2019-01-30,30,19.3,13.2990791469095
"Macao",2019-01-31,31,20.6,13.6714450725309
"Macao",2019-02-01,32,17.6,11.0197358689272
"Macao",2019-02-02,33,19,14.0923319748023
"Macao",2019-02-03,34,20.4,15.9183179670274
"Macao",2019-02-04,35,20.7,16.0912140492837
"Macao",2019-02-05,36,19.8,15.4545508214843
"Macao",2019-02-06,37,21.3,17.3143807814266
"Macao",2019-02-07,38,21.8,17.2853698979826
"Macao",2019-02-08,39,21.3,17.3143807814266
"Macao",2019-02-09,40,20.4,16.0067530668442
"Macao",2019-02-10,41,19,14.7277087921634
"Macao",2019-02-11,42,15.9,11.7502812638362
"Macao",2019-02-12,43,19.3,13.8960452931548
"Macao",2019-02-13,44,20.5,15.4243883973749
"Macao",2019-02-14,45,20.8,15.78686996288
"Macao",2019-02-15,46,20.7,15.8932237198183
"Macao",2019-02-16,47,21.6,16.8781448193563
"Macao",2019-02-17,48,19.5,14.8994562422948
"Macao",2019-02-18,49,19.1,14.9131817435932
"Macao",2019-02-19,50,21,17.1071242818527
"Macao",2019-02-20,51,21.9,18.9483779318131
"Macao",2019-02-21,52,20.7,16.9191736088666
"Macao",2019-02-22,53,19.4,13.1273801866104
"Macao",2019-02-23,54,15.7,12.2241029268983
"Macao",2019-02-24,55,15.1,11.2580067888112
"Macao",2019-02-25,56,15.7,11.3815225282171
"Macao",2019-02-26,57,18.6,14.4790254985924
"Macao",2019-02-27,58,20.5,16.1004284886093
"Macao",2019-02-28,59,21.8,17.4964010510101
"Macao",2019-03-01,60,21.1,16.8014711701496
"Macao",2019-03-02,61,21.2,17.214267922361
"Macao",2019-03-03,62,20.2,15.6285200866871
"Macao",2019-03-04,63,20.3,15.6322054730162
"Macao",2019-03-05,64,22.7,18.8910233444233
"Macao",2019-03-06,65,19.3,15.9688444120622
"Macao",2019-03-07,66,17,13.3939358261111
"Macao",2019-03-08,67,18,14.2335641723778
"Macao",2019-03-09,68,16.8,13.4914058551518
"Macao",2019-03-10,69,16.6,12.49706992919
"Macao",2019-03-11,70,17.2,12.4721287676182
"Macao",2019-03-12,71,19.1,13.8315663643875
"Macao",2019-03-13,72,20.6,14.4767003451276
"Macao",2019-03-14,73,18.8,14.9250612904798
"Macao",2019-03-15,74,17.9,12.5311990862621
"Macao",2019-03-16,75,20.2,13.0936930032759
"Macao",2019-03-17,76,20.6,15.604057726763
"Macao",2019-03-18,77,20.9,16.3888445454113
"Macao",2019-03-19,78,22.5,18.2160628009677
"Macao",2019-03-20,79,23,19.5883830981139
"Macao",2019-03-21,80,24.2,20.8415620371132
"Macao",2019-03-22,81,23.7,20.2581272860414
"Macao",2019-03-23,82,18.1,14.5038045959166
"Macao",2019-03-24,83,17.7,14.0720081178926
"Macao",2019-03-25,84,19.4,14.6286053667819
"Macao",2019-03-26,85,21.6,16.7643595733831
"Macao",2019-03-27,86,22,17.3695393306506
"Macao",2019-03-28,87,23.7,19.4238432689816
"Macao",2019-03-29,88,23.3,19.4461274036975
"Macao",2019-03-30,89,22.7,17.8808081923151
"Macao",2019-03-31,90,21.8,16.5563531875238
"Macao",2019-04-01,91,20.7,14.7412799847465
"Macao",2019-04-02,92,21.5,15.4609448014799
"Macao",2019-04-03,93,22.9,17.1058950363701
"Macao",2019-04-04,94,22.2,16.8444231610783
"Macao",2019-04-05,95,23.6,18.0373716708745
"Macao",2019-04-06,96,24.7,19.5830300251359
"Macao",2019-04-07,97,25.3,21.1460589674628
"Macao",2019-04-08,98,25.7,21.8894886824231
"Macao",2019-04-09,99,25.8,21.7715882365866
"Macao",2019-04-10,100,26.2,22.3870040089577
"Macao",2019-04-11,101,25.6,21.0050577103553
"Macao",2019-04-12,102,22.5,18.1161940356115
"Macao",2019-04-13,103,22.7,18.3253028592427
"Macao",2019-04-14,104,23.1,19.1012187553441
"Macao",2019-04-15,105,22.3,17.0403507986481
"Macao",2019-04-16,106,21.6,17.4091426338978
"Macao",2019-04-17,107,23.9,18.9319553539266
"Macao",2019-04-18,108,23.9,20.2517830986003
"Macao",2019-04-19,109,24.3,20.716511416857
"Macao",2019-04-20,110,24.1,20.4830086173488
"Macao",2019-04-21,111,26.2,22.8056828518095
"Macao",2019-04-22,112,26.3,23.329528037518
"Macao",2019-04-23,113,27,23.4317825031289
"Macao",2019-04-24,114,27.2,22.8598286183722
"Macao",2019-04-25,115,27.8,23.226769585786
"Macao",2019-04-26,116,27.5,22.977680905175
"Macao",2019-04-27,117,24.6,20.328185658189
"Macao",2019-04-28,118,25.2,20.7713596933428
"Macao",2019-04-29,119,26.1,22.6787058191126
"Macao",2019-04-30,120,26.1,20.4745119490045
"Macao",2019-05-01,121,24.3,17.3522916141195
"Macao",2019-05-02,122,21.9,17.0573992787401
"Macao",2019-05-03,123,23.1,15.8763376667795
"Macao",2019-05-04,124,22.5,16.9177688513373
"Macao",2019-05-05,125,22.5,18.6754591216061
"Macao",2019-05-06,126,22.1,17.8017570996891
"Macao",2019-05-07,127,21.4,16.0652880179178
"Macao",2019-05-08,128,20.9,16.916929536319
"Macao",2019-05-09,129,23.1,18.522393944576
"Macao",2019-05-10,130,23.8,19.4055456530056
"Macao",2019-05-11,131,24.9,18.9809733128746
"Macao",2019-05-12,132,25.2,20.0494850851661
"Macao",2019-05-13,133,25.3,21.6612453431927
"Macao",2019-05-14,134,26.6,23.0427280715926
"Macao",2019-05-15,135,27.9,25.38483745076
"Macao",2019-05-16,136,28.9,25.1301972125185
"Macao",2019-05-17,137,28.9,25.4446820468049
"Macao",2019-05-18,138,29.1,26.0421734187179
"Macao",2019-05-19,139,29.4,26.0016167057787
"Macao",2019-05-20,140,27.8,23.791963283702
"Macao",2019-05-21,141,25.2,19.9097674190674
"Macao",2019-05-22,142,25.9,21.360954841919
"Macao",2019-05-23,143,26.2,22.3870040089577
"Macao",2019-05-24,144,26.1,21.992956615079
"Macao",2019-05-25,145,27,23.5605285608383
"Macao",2019-05-26,146,26.4,23.3354265056222
"Macao",2019-05-27,147,25.3,21.9188385310577
"Macao",2019-05-28,148,26.4,22.6381031948885
"Macao",2019-05-29,149,25.4,21.6655269828341
"Macao",2019-05-30,150,25.4,21.4064826384741
"Macao",2019-05-31,151,26.1,22.8011610341186
"Macao",2019-06-01,152,27.3,23.1176488414303
"Macao",2019-06-02,153,27.1,23.1477952631237
"Macao",2019-06-03,154,27.5,23.6659524530258
"Macao",2019-06-04,155,28.4,25.174479914946
"Macao",2019-06-05,156,29,25.8715910517491
"Macao",2019-06-06,157,29.8,25.5225344027798
"Macao",2019-06-07,158,30.1,24.9036005109406
"Macao",2019-06-08,159,29.9,24.6349970780885
"Macao",2019-06-09,160,30.1,25.3308681667655
"Macao",2019-06-10,161,29.7,25.6828997056846
"Macao",2019-06-11,162,27.2,23.8231699155018
"Macao",2019-06-12,163,29.2,26.9402846215776
"Macao",2019-06-13,164,27.8,23.0921996577108
"Macao",2019-06-14,165,28.7,20.6714898870202
"Macao",2019-06-15,166,28.4,21.9755128539308
"Macao",2019-06-16,167,28.3,22.7681276787938
"Macao",2019-06-17,168,28.1,24.4892895415718
"Macao",2019-06-18,169,28.2,25.2020981282235
"Macao",2019-06-19,170,29.3,25.100583877003
"Macao",2019-06-20,171,29.9,25.2086060786813
"Macao",2019-06-21,172,30.2,25.6218570281143
"Macao",2019-06-22,173,30.1,25.1782725753995
"Macao",2019-06-23,174,29.8,25.2222692921588
"Macao",2019-06-24,175,27.8,23.0921996577108
"Macao",2019-06-25,176,27.4,23.5354847962183
"Macao",2019-06-26,177,29.1,24.8282208287222
"Macao",2019-06-27,178,30,26.4081094736225
"Macao",2019-06-28,179,30.2,26.6958270831849
"Macao",2019-06-29,180,30,25.8010264972174
"Macao",2019-06-30,181,29.7,25.0856229683431
"Macao",2019-07-01,182,30.1,25.3308681667655
"Macao",2019-07-02,183,28.6,24.017801782305
"Macao",2019-07-03,184,28.2,24.1841094483717
"Macao",2019-07-04,185,29.4,24.3856970234987
"Macao",2019-07-05,186,29.8,23.9011028054267
"Macao",2019-07-06,187,29.7,24.4883462310016
"Macao",2019-07-07,188,29.6,25.39514320957
"Macao",2019-07-08,189,29.8,25.3724018474693
"Macao",2019-07-09,190,29.2,25.4290712447469
"Macao",2019-07-10,191,27.9,24.058763852586
"Macao",2019-07-11,192,29.2,25.4290712447469
"Macao",2019-07-12,193,29.7,25.2349421526785
"Macao",2019-07-13,194,29.6,25.0981239907446
"Macao",2019-07-14,195,29.2,25.5743802232883
"Macao",2019-07-15,196,29.7,24.9363037840077
"Macao",2019-07-16,197,29.7,24.2195716991979
"Macao",2019-07-17,198,30.8,25.7368750225292
"Macao",2019-07-18,199,30.9,24.2506955387978
"Macao",2019-07-19,200,29.7,25.9815380743553
"Macao",2019-07-20,201,28.3,24.3173562936328
"Macao",2019-07-21,202,29.1,24.6837026632465
"Macao",2019-07-22,203,27.9,23.6257602286924
"Macao",2019-07-23,204,29.2,24.5281555777902
"Macao",2019-07-24,205,29.8,25.2222692921588
"Macao",2019-07-25,206,29.9,24.6349970780885
"Macao",2019-07-26,207,30.3,24.8970581045979
"Macao",2019-07-27,208,30.4,24.8769688867644
"Macao",2019-07-28,209,29.3,24.3700663020029
"Macao",2019-07-29,210,29.7,23.7716141461918
"Macao",2019-07-30,211,29,23.8306099798889
"Macao",2019-07-31,212,26.9,22.7387654782778
"Macao",2019-08-01,213,26.7,23.2978679212275
"Macao",2019-08-02,214,26.8,23.3003878524293
"Macao",2019-08-03,215,27.3,23.1176488414303
"Macao",2019-08-04,216,27.6,22.9718659813544
