"Province","YEARMODA","DaySeq","TEMP","AH"
"Gansu",2019-01-01,1,-8.84666666666667,1.50831083910267
"Gansu",2019-01-02,2,-8.19333333333333,1.67378008775854
"Gansu",2019-01-03,3,-8.88666666666667,1.68475631975284
"Gansu",2019-01-04,4,-8.25333333333333,1.68100194612137
"Gansu",2019-01-05,5,-6.52,1.73457763169912
"Gansu",2019-01-06,6,-7.27333333333333,1.77238240526238
"Gansu",2019-01-07,7,-8.56,1.52317549698712
"Gansu",2019-01-08,8,-9.65333333333333,1.50911105043335
"Gansu",2019-01-09,9,-8.32,1.73548669592718
"Gansu",2019-01-10,10,-8.25333333333333,1.66621812739696
"Gansu",2019-01-11,11,-6.28666666666667,1.64554361299356
"Gansu",2019-01-12,12,-5.67333333333333,1.46692797443743
"Gansu",2019-01-13,13,-5.88666666666667,1.60923414272337
"Gansu",2019-01-14,14,-6.70666666666667,1.51918801746732
"Gansu",2019-01-15,15,-9.12,1.59485827942288
"Gansu",2019-01-16,16,-8.27333333333333,1.53205336987898
"Gansu",2019-01-17,17,-4.92,1.76185700052112
"Gansu",2019-01-18,18,-5.82,1.83309888986809
"Gansu",2019-01-19,19,-6.55333333333333,1.97325949889376
"Gansu",2019-01-20,20,-9.95333333333333,1.68530742737467
"Gansu",2019-01-21,21,-8.93333333333333,1.36041236865084
"Gansu",2019-01-22,22,-7.76666666666667,1.34626634633567
"Gansu",2019-01-23,23,-5.61333333333333,1.7313248731758
"Gansu",2019-01-24,24,-6.28,1.7757557127417
"Gansu",2019-01-25,25,-6.15333333333333,1.5544972465767
"Gansu",2019-01-26,26,-5.67142857142857,1.91800883404879
"Gansu",2019-01-27,27,-5.34666666666667,2.02551450176948
"Gansu",2019-01-28,28,-4.45333333333333,1.9353710446302
"Gansu",2019-01-29,29,-5.18,1.75764929445964
"Gansu",2019-01-30,30,-9.94666666666667,1.6982834914749
"Gansu",2019-01-31,31,-9.38666666666667,1.42271391311822
"Gansu",2019-02-01,32,-4.57333333333333,1.88278042079282
"Gansu",2019-02-02,33,-5.60666666666667,1.71599589964476
"Gansu",2019-02-03,34,-4.70666666666667,1.59736547810148
"Gansu",2019-02-04,35,-2.48,1.56347535331858
"Gansu",2019-02-05,36,-1.16,1.81861429006176
"Gansu",2019-02-06,37,-1.93333333333333,1.554549755998
"Gansu",2019-02-07,38,-4.78,1.69015941134033
"Gansu",2019-02-08,39,-6.58666666666667,1.43454456821544
"Gansu",2019-02-09,40,-7.59333333333333,1.7296648766593
"Gansu",2019-02-10,41,-5.48666666666667,1.90526715265614
"Gansu",2019-02-11,42,-3.38,2.00826134939249
"Gansu",2019-02-12,43,-1.92,1.90554994546271
"Gansu",2019-02-13,44,-2.94,2.18742477692212
"Gansu",2019-02-14,45,-5.41333333333333,1.68493218148545
"Gansu",2019-02-15,46,-5.30666666666667,1.44695451614304
"Gansu",2019-02-16,47,-7.23333333333333,1.7001270613436
"Gansu",2019-02-17,48,-7.11333333333333,1.98488851273045
"Gansu",2019-02-18,49,-5.50666666666667,2.0249158156637
"Gansu",2019-02-19,50,-3.42,2.22328576960903
"Gansu",2019-02-20,51,-1.68666666666667,2.50805704602653
"Gansu",2019-02-21,52,-0.813333333333333,2.50424402217154
"Gansu",2019-02-22,53,-1.06,2.48244908598774
"Gansu",2019-02-23,54,-0.3,2.67001977344563
"Gansu",2019-02-24,55,-1.48,3.10395159129175
"Gansu",2019-02-25,56,-1.62,2.97982806235314
"Gansu",2019-02-26,57,-1.60666666666667,2.98566509000074
"Gansu",2019-02-27,58,-1.08666666666667,2.85165606378348
"Gansu",2019-02-28,59,-0.0133333333333334,3.05440520491579
"Gansu",2019-03-01,60,-0.1,3.21929315061143
"Gansu",2019-03-02,61,0.84,2.88478081962826
"Gansu",2019-03-03,62,3.08666666666667,2.48178658938308
"Gansu",2019-03-04,63,2.77333333333333,2.66521559263028
"Gansu",2019-03-05,64,2.91333333333333,2.17271307811324
"Gansu",2019-03-06,65,2.92,2.39006062020442
"Gansu",2019-03-07,66,2.88666666666667,3.09255767334834
"Gansu",2019-03-08,67,2.64,2.88809046943689
"Gansu",2019-03-09,68,3,2.39781338603983
"Gansu",2019-03-10,69,1.64666666666667,2.13710129933208
"Gansu",2019-03-11,70,1.94,1.71633515954405
"Gansu",2019-03-12,71,4.10666666666667,1.74027669253093
"Gansu",2019-03-13,72,1.82,2.05795638091833
"Gansu",2019-03-14,73,3.15333333333333,1.7681687956371
"Gansu",2019-03-15,74,4.3,1.8515040718248
"Gansu",2019-03-16,75,6.45333333333333,2.01082691229895
"Gansu",2019-03-17,76,5.27333333333333,3.07211598687076
"Gansu",2019-03-18,77,8.28,2.48971221067821
"Gansu",2019-03-19,78,5.87333333333333,3.18858997336002
"Gansu",2019-03-20,79,1.47333333333333,2.01253864229918
"Gansu",2019-03-21,80,2.03333333333333,1.60764579120936
"Gansu",2019-03-22,81,2.09333333333333,1.6047808017534
"Gansu",2019-03-23,82,3.66,1.58948299822238
"Gansu",2019-03-24,83,4.67333333333333,1.80344747395426
"Gansu",2019-03-25,84,7.32,1.85303235443593
"Gansu",2019-03-26,85,9.07333333333333,2.40277495305704
"Gansu",2019-03-27,86,7.8,2.72008539892161
"Gansu",2019-03-28,87,7.28666666666667,2.10921450692104
"Gansu",2019-03-29,88,6.04,1.3806705369679
"Gansu",2019-03-30,89,5.42666666666667,1.30927250983285
"Gansu",2019-03-31,90,8.14,1.58232769300358
"Gansu",2019-04-01,91,9.53333333333333,2.36280803453523
"Gansu",2019-04-02,92,9.56,2.43622963705961
"Gansu",2019-04-03,93,9.80666666666667,3.2099782967381
"Gansu",2019-04-04,94,10.9466666666667,2.73178889303785
"Gansu",2019-04-05,95,13.08,2.23492563313126
"Gansu",2019-04-06,96,13.46,2.64412203393722
"Gansu",2019-04-07,97,13.6266666666667,3.81424246300631
"Gansu",2019-04-08,98,7.64,5.15941706221561
"Gansu",2019-04-09,99,6.34666666666667,4.47780470814756
"Gansu",2019-04-10,100,7.43333333333333,3.89269023386529
"Gansu",2019-04-11,101,10.66,3.57646705721928
"Gansu",2019-04-12,102,9.96666666666667,4.53332616207488
"Gansu",2019-04-13,103,8.17333333333333,3.87459528885331
"Gansu",2019-04-14,104,10.9666666666667,3.74321712567316
"Gansu",2019-04-15,105,10.5933333333333,3.92448067745275
"Gansu",2019-04-16,106,15.8666666666667,3.27304425952365
"Gansu",2019-04-17,107,17.6866666666667,4.11289420068541
"Gansu",2019-04-18,108,17.34,5.1225448734989
"Gansu",2019-04-19,109,13.6266666666667,6.4075374390023
"Gansu",2019-04-20,110,13.5466666666667,4.91688232604528
"Gansu",2019-04-21,111,15.3666666666667,4.63314830696574
