"Province","YEARMODA","DaySeq","TEMP","AH"
"Chongqing",2019-01-01,1,2.95,4.48212753655142
"Chongqing",2019-01-02,2,4.025,4.75393714600169
"Chongqing",2019-01-03,3,4.325,5.19004489170693
"Chongqing",2019-01-04,4,4.75,5.91296735276958
"Chongqing",2019-01-05,5,6.15,5.68113481424217
"Chongqing",2019-01-06,6,5.725,5.56385854173165
"Chongqing",2019-01-07,7,6.675,5.79834170268016
"Chongqing",2019-01-08,8,5.425,5.40332977855666
"Chongqing",2019-01-09,9,3.525,5.55786677225956
"Chongqing",2019-01-10,10,4.525,5.7854530860844
"Chongqing",2019-01-11,11,5.35,6.0922473942278
"Chongqing",2019-01-12,12,5.7,6.1203424809022
"Chongqing",2019-01-13,13,6.6,6.3852299673313
"Chongqing",2019-01-14,14,6.525,6.47046251540151
"Chongqing",2019-01-15,15,6.275,5.63886901318326
"Chongqing",2019-01-16,16,5.925,5.23496466707671
"Chongqing",2019-01-17,17,7.2,5.54053023387625
"Chongqing",2019-01-18,18,6.3,6.15727856284753
"Chongqing",2019-01-19,19,7.275,6.63882124475363
"Chongqing",2019-01-20,20,6.35,5.85818000131907
"Chongqing",2019-01-21,21,5.175,5.26171203602597
"Chongqing",2019-01-22,22,6.225,5.23975977097524
"Chongqing",2019-01-23,23,8.25,5.52618238326241
"Chongqing",2019-01-24,24,8.85,6.33198335015661
"Chongqing",2019-01-25,25,9.5,6.59192582047358
"Chongqing",2019-01-26,26,8.55,5.56207163004356
"Chongqing",2019-01-27,27,7.1,6.04399164243389
"Chongqing",2019-01-28,28,7.35,6.51228670042746
"Chongqing",2019-01-29,29,7.35,6.56811654544217
"Chongqing",2019-01-30,30,6.325,6.83096183596318
"Chongqing",2019-01-31,31,6.775,6.26483140986199
"Chongqing",2019-02-01,32,7.1,6.2015720260701
"Chongqing",2019-02-02,33,8.25,6.82479191626586
"Chongqing",2019-02-03,34,9.65,6.88366616936279
"Chongqing",2019-02-04,35,8.85,6.33500358348891
"Chongqing",2019-02-05,36,10.125,6.49754502008045
"Chongqing",2019-02-06,37,12.95,7.27485071472433
"Chongqing",2019-02-07,38,11,6.32441170629274
"Chongqing",2019-02-08,39,7.125,5.84563040250465
"Chongqing",2019-02-09,40,4.625,4.73394367032499
"Chongqing",2019-02-10,41,4,4.9242204458952
"Chongqing",2019-02-11,42,5.675,5.30370731040606
"Chongqing",2019-02-12,43,6.7,5.99833928494975
"Chongqing",2019-02-13,44,6.4,5.80670028929668
"Chongqing",2019-02-14,45,6.55,5.75925673931068
"Chongqing",2019-02-15,46,7.175,5.46355237963819
"Chongqing",2019-02-16,47,6.775,4.17203464503836
"Chongqing",2019-02-17,48,4.8,4.16420839002213
"Chongqing",2019-02-18,49,4.475,4.61844742082682
"Chongqing",2019-02-19,50,6.475,5.08853772558115
"Chongqing",2019-02-20,51,7.375,5.68878978952821
"Chongqing",2019-02-21,52,7.35,5.95790349299076
"Chongqing",2019-02-22,53,8.85,5.9624749822106
"Chongqing",2019-02-23,54,8.525,5.34261560305934
"Chongqing",2019-02-24,55,9.075,5.64353493247141
"Chongqing",2019-02-25,56,11.325,5.95178693466554
"Chongqing",2019-02-26,57,9.325,6.20451257846326
"Chongqing",2019-02-27,58,7.5,6.6940265090698
"Chongqing",2019-02-28,59,9.525,6.36075029456806
"Chongqing",2019-03-01,60,9.25,6.59200604031571
"Chongqing",2019-03-02,61,8.25,7.20600092713443
"Chongqing",2019-03-03,62,10.725,6.92223837572723
"Chongqing",2019-03-04,63,9.35,7.65878767514981
"Chongqing",2019-03-05,64,10.075,8.45192524225815
"Chongqing",2019-03-06,65,10.95,7.57855478458096
"Chongqing",2019-03-07,66,9.875,5.94427170262858
"Chongqing",2019-03-08,67,7.725,5.95141361270433
"Chongqing",2019-03-09,68,9.65,6.66939785962759
"Chongqing",2019-03-10,69,12.9,6.95408511289031
"Chongqing",2019-03-11,70,14.275,7.05647003399334
"Chongqing",2019-03-12,71,14.025,7.69177984752409
"Chongqing",2019-03-13,72,11.45,8.91011909007644
"Chongqing",2019-03-14,73,12.6,8.04569952772759
"Chongqing",2019-03-15,74,13.2,7.80175004241791
"Chongqing",2019-03-16,75,12.825,7.44474511241688
"Chongqing",2019-03-17,76,12.425,8.15094568462512
"Chongqing",2019-03-18,77,15.225,8.07539491207554
"Chongqing",2019-03-19,78,17.575,9.42969766655078
"Chongqing",2019-03-20,79,20.1,10.6638245580989
"Chongqing",2019-03-21,80,12.85,9.56300595148182
"Chongqing",2019-03-22,81,8.775,7.69589213963072
"Chongqing",2019-03-23,82,10.1,7.03441443428021
"Chongqing",2019-03-24,83,9.05,7.30474179663691
"Chongqing",2019-03-25,84,13.45,7.77990163832434
"Chongqing",2019-03-26,85,16.35,8.61263306230364
"Chongqing",2019-03-27,86,16.95,9.88908947253072
