"Province","YEARMODA","DaySeq","TEMP","AH"
"Shaanxi",2019-01-01,1,-4.725,2.16805021913609
"Shaanxi",2019-01-02,2,-3.2,2.53900489511869
"Shaanxi",2019-01-03,3,-2.3625,2.76898056083943
"Shaanxi",2019-01-04,4,-2.9375,2.55565632189283
"Shaanxi",2019-01-05,5,-1.8875,2.70269986240871
"Shaanxi",2019-01-06,6,-1.8875,2.84826169250552
"Shaanxi",2019-01-07,7,-1.475,2.37624342430977
"Shaanxi",2019-01-08,8,-1.9125,2.28532866579027
"Shaanxi",2019-01-09,9,-2.2625,2.59368171663444
"Shaanxi",2019-01-10,10,-3.1125,2.89870920267269
"Shaanxi",2019-01-11,11,-2.65,2.77181095080294
"Shaanxi",2019-01-12,12,-1.3625,2.79831254290513
"Shaanxi",2019-01-13,13,-0.1625,2.79018818379221
"Shaanxi",2019-01-14,14,-0.35,2.79086248612736
"Shaanxi",2019-01-15,15,-3.4125,1.89580403551633
"Shaanxi",2019-01-16,16,-4.15,1.83920067340291
"Shaanxi",2019-01-17,17,-1.2625,2.30485068437384
"Shaanxi",2019-01-18,18,-0.25,2.70077188428054
"Shaanxi",2019-01-19,19,0.525,2.40605670997709
"Shaanxi",2019-01-20,20,-1.7625,1.97888933778717
"Shaanxi",2019-01-21,21,-1.625,2.01745632438152
"Shaanxi",2019-01-22,22,0.125,2.00069973683175
"Shaanxi",2019-01-23,23,1.9,2.15969867876948
"Shaanxi",2019-01-24,24,2.425,2.71346805813061
"Shaanxi",2019-01-25,25,3.325,2.42286698836803
"Shaanxi",2019-01-26,26,2.1,2.79839458295937
"Shaanxi",2019-01-27,27,0.85,2.88738052497742
"Shaanxi",2019-01-28,28,1.6125,2.70323367704222
"Shaanxi",2019-01-29,29,2.8,3.19540001731445
"Shaanxi",2019-01-30,30,-0.0875000000000001,3.69123669392092
"Shaanxi",2019-01-31,31,-2.3625,2.9867511940306
"Shaanxi",2019-02-01,32,-0.125,3.0636772084629
"Shaanxi",2019-02-02,33,2.5125,2.70314688907572
"Shaanxi",2019-02-03,34,2.8375,2.34272873309826
"Shaanxi",2019-02-04,35,3.8125,2.6771898761731
"Shaanxi",2019-02-05,36,4.95,3.02943934341416
"Shaanxi",2019-02-06,37,4.6125,3.14095390715683
"Shaanxi",2019-02-07,38,-0.8375,2.48813148713963
"Shaanxi",2019-02-08,39,-2.875,2.34137478329761
"Shaanxi",2019-02-09,40,-3.75,2.23796011944049
"Shaanxi",2019-02-10,41,-3.325,2.57849723306193
"Shaanxi",2019-02-11,42,-0.275,2.95761359875276
"Shaanxi",2019-02-12,43,1.85,3.18888465543334
"Shaanxi",2019-02-13,44,-0.4875,3.42169755871855
"Shaanxi",2019-02-14,45,-1.5625,3.34053530609602
"Shaanxi",2019-02-15,46,-1.35,2.73600934543679
"Shaanxi",2019-02-16,47,-0.525,2.31263903957489
"Shaanxi",2019-02-17,48,-1,2.90958163179881
"Shaanxi",2019-02-18,49,-1.6375,3.52345191825306
"Shaanxi",2019-02-19,50,0.3875,3.24012083192962
"Shaanxi",2019-02-20,51,2.6125,3.23858279826115
"Shaanxi",2019-02-21,52,1.5125,3.33055007197111
"Shaanxi",2019-02-22,53,3.2625,3.37307974268979
"Shaanxi",2019-02-23,54,5.8375,3.19795784887509
"Shaanxi",2019-02-24,55,6.0625,3.52695839602864
"Shaanxi",2019-02-25,56,6.8875,4.11678946409948
"Shaanxi",2019-02-26,57,3.3375,5.26814827865639
"Shaanxi",2019-02-27,58,3.55,4.86284793230232
"Shaanxi",2019-02-28,59,4.8,4.83923878097239
"Shaanxi",2019-03-01,60,4.8625,4.76430225923627
"Shaanxi",2019-03-02,61,3.65,4.92143077304403
"Shaanxi",2019-03-03,62,5.6,4.78497542822432
"Shaanxi",2019-03-04,63,7.3125,5.26841260188014
"Shaanxi",2019-03-05,64,7.4125,4.48135637038327
"Shaanxi",2019-03-06,65,7.575,3.70361876723684
"Shaanxi",2019-03-07,66,7.2,3.59993521690486
"Shaanxi",2019-03-08,67,5.2625,4.01005774556928
"Shaanxi",2019-03-09,68,7.9125,3.8874091984643
"Shaanxi",2019-03-10,69,6.6375,3.9282539398614
"Shaanxi",2019-03-11,70,7.0875,2.80625007318924
"Shaanxi",2019-03-12,71,8.5875,2.73133094583199
"Shaanxi",2019-03-13,72,6.55,3.32084906362145
"Shaanxi",2019-03-14,73,8.3375,3.05191151245526
"Shaanxi",2019-03-15,74,9.6,2.90044591309762
"Shaanxi",2019-03-16,75,11.575,3.75039776563947
"Shaanxi",2019-03-17,76,11.2875,4.64571331032761
"Shaanxi",2019-03-18,77,13.65,4.27680655558079
"Shaanxi",2019-03-19,78,12.8125,6.00684830226891
"Shaanxi",2019-03-20,79,12.475,4.26340244531654
"Shaanxi",2019-03-21,80,5.2,3.2114990661289
"Shaanxi",2019-03-22,81,5.525,2.99393954387185
"Shaanxi",2019-03-23,82,8.1125,2.64693904140524
"Shaanxi",2019-03-24,83,9.5,3.432475360424
"Shaanxi",2019-03-25,84,12.2125,3.44051723429373
"Shaanxi",2019-03-26,85,15.1625,4.16842830379376
"Shaanxi",2019-03-27,86,14.1125,4.927760123317
"Shaanxi",2019-03-28,87,14.0375,4.70743131087412
"Shaanxi",2019-03-29,88,11.6125,3.16329989182728
"Shaanxi",2019-03-30,89,8.9,2.3373318163415
"Shaanxi",2019-03-31,90,10.2125,2.6656637046347
"Shaanxi",2019-04-01,91,14.625,3.7067339227087
"Shaanxi",2019-04-02,92,11.7,5.44159408878338
"Shaanxi",2019-04-03,93,13.3875,5.59011084665965
"Shaanxi",2019-04-04,94,15.0875,5.31777837128305
"Shaanxi",2019-04-05,95,18.45,3.95986078637784
"Shaanxi",2019-04-06,96,19.075,5.3580178591636
"Shaanxi",2019-04-07,97,19.9375,5.79891110047156
"Shaanxi",2019-04-08,98,18.1,8.19420800372248
"Shaanxi",2019-04-09,99,13.325,7.87304196167362
"Shaanxi",2019-04-10,100,9.725,7.21461616672404
"Shaanxi",2019-04-11,101,12.65,6.13309484884994
"Shaanxi",2019-04-12,102,10.475,7.55674289866782
"Shaanxi",2019-04-13,103,12.2375,7.23715361978815
"Shaanxi",2019-04-14,104,13.3,4.88228539471772
"Shaanxi",2019-04-15,105,13.6375,6.51538488847568
"Shaanxi",2019-04-16,106,17.95,5.46201063104907
"Shaanxi",2019-04-17,107,22.0375,7.07660659498659
"Shaanxi",2019-04-18,108,23.3125,9.39816998766328
"Shaanxi",2019-04-19,109,19.075,10.2884970949166
"Shaanxi",2019-04-20,110,13.8125,10.3390226526095
"Shaanxi",2019-04-21,111,16.3125,10.1093919172528
"Shaanxi",2019-04-22,112,16.9,10.5824996397055
"Shaanxi",2019-04-23,113,19.1375,10.8931256060381
"Shaanxi",2019-04-24,114,20.0625,9.74667259299662
"Shaanxi",2019-04-25,115,20.6375,8.77318569490392
"Shaanxi",2019-04-26,116,15.9125,8.25877727045274
"Shaanxi",2019-04-27,117,9.9875,8.29597560491626
"Shaanxi",2019-04-28,118,10.0375,8.09361112848214
"Shaanxi",2019-04-29,119,15.85,7.76618979375226
"Shaanxi",2019-04-30,120,16.05,6.30055915069488
"Shaanxi",2019-05-01,121,14.9375,6.95714547108998
"Shaanxi",2019-05-02,122,16.375,8.00829997643417
"Shaanxi",2019-05-03,123,16.1125,9.62575265588189
"Shaanxi",2019-05-04,124,19.275,10.5532657688214
"Shaanxi",2019-05-05,125,17.175,10.5161322595523
"Shaanxi",2019-05-06,126,11.425,7.82316781754748
"Shaanxi",2019-05-07,127,9.75,7.95809145062026
"Shaanxi",2019-05-08,128,12.475,8.30930111534305
"Shaanxi",2019-05-09,129,15.5875,8.13314637683508
"Shaanxi",2019-05-10,130,18.2,8.77742235049294
"Shaanxi",2019-05-11,131,20.025,8.78637359620856
"Shaanxi",2019-05-12,132,14.7375,6.66087770424471
"Shaanxi",2019-05-13,133,17.175,7.27527403242747
"Shaanxi",2019-05-14,134,16.7,9.20612079252257
"Shaanxi",2019-05-15,135,19.875,9.32750340615832
"Shaanxi",2019-05-16,136,16.825,10.4300064385013
"Shaanxi",2019-05-17,137,20.9875,10.9691191821905
"Shaanxi",2019-05-18,138,19.3125,11.7505779980483
"Shaanxi",2019-05-19,139,15.625,6.75155846488407
"Shaanxi",2019-05-20,140,16.1125,5.74182396375768
"Shaanxi",2019-05-21,141,19.7375,6.60703244571192
"Shaanxi",2019-05-22,142,22.4125,6.66710840357812
"Shaanxi",2019-05-23,143,24,7.55325816909292
"Shaanxi",2019-05-24,144,24.35,10.1381336006379
"Shaanxi",2019-05-25,145,25.7375,10.9639553356253
"Shaanxi",2019-05-26,146,22.825,6.30905046626657
"Shaanxi",2019-05-27,147,15.9625,6.57971879064553
"Shaanxi",2019-05-28,148,13.4,8.81550043233151
"Shaanxi",2019-05-29,149,16.4625,8.94690843531861
"Shaanxi",2019-05-30,150,20.325,8.50062731954125
"Shaanxi",2019-05-31,151,21.0625,8.69434518170914
"Shaanxi",2019-06-01,152,23.1,7.93524246005169
"Shaanxi",2019-06-02,153,24.5,7.66372330777358
"Shaanxi",2019-06-03,154,25.0125,8.04022794483592
"Shaanxi",2019-06-04,155,24.3,10.5268933590722
"Shaanxi",2019-06-05,156,17.85,12.7042137088269
"Shaanxi",2019-06-06,157,21.15,12.1220919012071
"Shaanxi",2019-06-07,158,22.7125,12.8024959706841
"Shaanxi",2019-06-08,159,23.8375,12.0781187508346
"Shaanxi",2019-06-09,160,24.65,11.9755633977613
"Shaanxi",2019-06-10,161,25.925,11.5802614708225
"Shaanxi",2019-06-11,162,22.4625,12.1571389548069
"Shaanxi",2019-06-12,163,20.9125,12.2347583163371
"Shaanxi",2019-06-13,164,23.4875,11.3570112440851
"Shaanxi",2019-06-14,165,25.2625,11.3927056817694
"Shaanxi",2019-06-15,166,20.6,13.2468890712047
"Shaanxi",2019-06-16,167,22.7,12.0089147041548
"Shaanxi",2019-06-17,168,22.2875,12.3820655161009
"Shaanxi",2019-06-18,169,24.825,13.0324058874309
