"Province","YEARMODA","DaySeq","TEMP","AH"
"Hong Kong",2019-01-01,1,12.7,7.44524142152771
"Hong Kong",2019-01-02,2,13.4,8.08036714320526
"Hong Kong",2019-01-03,3,14.625,11.0209145550919
"Hong Kong",2019-01-04,4,18.525,13.5477035039316
"Hong Kong",2019-01-05,5,19.225,14.1358919137254
"Hong Kong",2019-01-06,6,17.175,11.9242260444902
"Hong Kong",2019-01-07,7,18.375,13.173559905751
"Hong Kong",2019-01-08,8,18.4,12.43120988146
"Hong Kong",2019-01-09,9,17.875,12.3727349751416
"Hong Kong",2019-01-10,10,19.425,13.8808148298604
"Hong Kong",2019-01-11,11,20.025,14.8725564040326
"Hong Kong",2019-01-12,12,20.55,14.778348417365
"Hong Kong",2019-01-13,13,18.375,14.0156480174732
"Hong Kong",2019-01-14,14,18.45,13.6400213178663
"Hong Kong",2019-01-15,15,18.275,12.7604467941169
"Hong Kong",2019-01-16,16,15.4,9.09677071125017
"Hong Kong",2019-01-17,17,15.575,9.20790138502252
"Hong Kong",2019-01-18,18,16.475,10.4284767390592
"Hong Kong",2019-01-19,19,18.9,12.4888736166992
"Hong Kong",2019-01-20,20,19.95,11.9007985257221
"Hong Kong",2019-01-21,21,15.725,8.09459427116983
"Hong Kong",2019-01-22,22,13.775,6.16696470471089
"Hong Kong",2019-01-23,23,14.6,8.33428227719612
"Hong Kong",2019-01-24,24,16.025,9.65237828015425
"Hong Kong",2019-01-25,25,17.2,10.2208255116026
"Hong Kong",2019-01-26,26,17.275,10.1763673450883
"Hong Kong",2019-01-27,27,16.35,9.8082121240176
"Hong Kong",2019-01-28,28,17.075,9.62644575159081
"Hong Kong",2019-01-29,29,18.175,10.9848590532125
"Hong Kong",2019-01-30,30,19.325,12.1291035640375
"Hong Kong",2019-01-31,31,21.35,13.1503426774189
"Hong Kong",2019-02-01,32,17.15,10.1933121001669
"Hong Kong",2019-02-02,33,19.375,13.3387397981752
"Hong Kong",2019-02-03,34,21,15.4176682447893
"Hong Kong",2019-02-04,35,20.55,14.9439120414993
"Hong Kong",2019-02-05,36,20.8,14.646805733189
"Hong Kong",2019-02-06,37,22.35,16.3652080470193
"Hong Kong",2019-02-07,38,22.475,16.2649560653549
"Hong Kong",2019-02-08,39,21.05,15.5183949912105
"Hong Kong",2019-02-09,40,19.7,14.5385059877463
"Hong Kong",2019-02-10,41,18.6,13.5242900418994
"Hong Kong",2019-02-11,42,16.55,11.8410891356563
"Hong Kong",2019-02-12,43,19.075,13.1847665899233
"Hong Kong",2019-02-13,44,20.65,14.560220009179
"Hong Kong",2019-02-14,45,20.925,14.526447052124
"Hong Kong",2019-02-15,46,20.7,14.8379200593669
"Hong Kong",2019-02-16,47,22.1,15.2738976794501
"Hong Kong",2019-02-17,48,18.75,13.1951077748065
"Hong Kong",2019-02-18,49,17.625,13.7648666447539
"Hong Kong",2019-02-19,50,21.225,16.6132265729614
"Hong Kong",2019-02-20,51,22.85,17.814219365975
"Hong Kong",2019-02-21,52,21.75,16.5285864281911
"Hong Kong",2019-02-22,53,19.825,12.8542873973156
"Hong Kong",2019-02-23,54,15.75,11.9589207853978
"Hong Kong",2019-02-24,55,15.425,10.989276235758
"Hong Kong",2019-02-25,56,16.725,11.8811504754629
"Hong Kong",2019-02-26,57,18.8,13.9952637829014
"Hong Kong",2019-02-27,58,21.4,15.6612702534733
"Hong Kong",2019-02-28,59,22.55,16.588959698847
"Hong Kong",2019-03-01,60,20.825,15.5746285719827
"Hong Kong",2019-03-02,61,21.975,16.233876053097
"Hong Kong",2019-03-03,62,19.875,14.7503441328883
"Hong Kong",2019-03-04,63,20.175,14.52155428556
"Hong Kong",2019-03-05,64,22.425,17.3590750806698
"Hong Kong",2019-03-06,65,19.55,15.6621527253507
"Hong Kong",2019-03-07,66,16.1,12.8209397925672
"Hong Kong",2019-03-08,67,16.78,12.9113745413525
"Hong Kong",2019-03-09,68,17.4,13.8898682291216
"Hong Kong",2019-03-10,69,16.36,12.1257175090364
"Hong Kong",2019-03-11,70,17.38,12.013104679174
"Hong Kong",2019-03-12,71,19.36,12.8802774062867
"Hong Kong",2019-03-13,72,21.42,12.231734094143
"Hong Kong",2019-03-14,73,19.22,14.5659967200115
"Hong Kong",2019-03-15,74,17.58,12.5741395689475
"Hong Kong",2019-03-16,75,20.46,10.5358172418016
"Hong Kong",2019-03-17,76,20.62,14.0231216109937
"Hong Kong",2019-03-18,77,20.94,15.5657149047857
"Hong Kong",2019-03-19,78,23.32,17.2718726829099
"Hong Kong",2019-03-20,79,23.14,18.1839512424817
"Hong Kong",2019-03-21,80,25.04,18.7666866611066
"Hong Kong",2019-03-22,81,24.26,19.0558256527557
"Hong Kong",2019-03-23,82,17.8,13.8817658924024
"Hong Kong",2019-03-24,83,17.22,13.1222973673573
"Hong Kong",2019-03-25,84,20.32,14.9871368089661
"Hong Kong",2019-03-26,85,21.58,15.7527684472614
"Hong Kong",2019-03-27,86,22.5,16.8628912445525
"Hong Kong",2019-03-28,87,24.04,18.5813605712758
"Hong Kong",2019-03-29,88,23.94,18.908703027958
"Hong Kong",2019-03-30,89,22.32,17.0741706004506
"Hong Kong",2019-03-31,90,21.24,14.7479872901013
"Hong Kong",2019-04-01,91,19.84,13.614160561693
"Hong Kong",2019-04-02,92,21.08,14.3112789898033
"Hong Kong",2019-04-03,93,22.66,16.1533710968084
"Hong Kong",2019-04-04,94,21.38,15.5107049499413
"Hong Kong",2019-04-05,95,23.68,16.9235267669715
"Hong Kong",2019-04-06,96,24.7,18.3057653149483
"Hong Kong",2019-04-07,97,25.38,19.5349397787603
"Hong Kong",2019-04-08,98,26.24,20.2019936888997
"Hong Kong",2019-04-09,99,26.26,19.9072017181282
"Hong Kong",2019-04-10,100,26.48,20.8401379116631
"Hong Kong",2019-04-11,101,25.76,20.2228728596617
"Hong Kong",2019-04-12,102,21.1,16.8579508068544
"Hong Kong",2019-04-13,103,21.56,16.9725141017292
"Hong Kong",2019-04-14,104,22.66,18.6906065525318
"Hong Kong",2019-04-15,105,21.32,15.2625657464735
"Hong Kong",2019-04-16,106,20.84,16.8915552765629
"Hong Kong",2019-04-17,107,23.38,17.7859869954301
"Hong Kong",2019-04-18,108,23.56,19.3579362904477
"Hong Kong",2019-04-19,109,22.72,19.0680940015386
"Hong Kong",2019-04-20,110,23.14,19.8698156972944
"Hong Kong",2019-04-21,111,26.22,22.1281912825507
"Hong Kong",2019-04-22,112,27.08,21.7177438935265
"Hong Kong",2019-04-23,113,27.3,21.744742846214
"Hong Kong",2019-04-24,114,27.48,21.1343120184808
"Hong Kong",2019-04-25,115,27.84,21.7755614170611
"Hong Kong",2019-04-26,116,27.62,21.3716821584585
"Hong Kong",2019-04-27,117,23.86,18.8616115599099
"Hong Kong",2019-04-28,118,24.66,19.5627622103072
"Hong Kong",2019-04-29,119,26.52,21.1619362360675
"Hong Kong",2019-04-30,120,25.84,20.1588261769315
"Hong Kong",2019-05-01,121,24.06,16.9416204339589
"Hong Kong",2019-05-02,122,21.44,16.0979653811102
"Hong Kong",2019-05-03,123,21.88,14.5850166326741
"Hong Kong",2019-05-04,124,21.52,15.4657282487914
"Hong Kong",2019-05-05,125,21.78,17.7173582434188
"Hong Kong",2019-05-06,126,21.24,16.9905548166943
"Hong Kong",2019-05-07,127,20.16,15.2719935181713
"Hong Kong",2019-05-08,128,20.32,16.1417143833087
"Hong Kong",2019-05-09,129,23.08,18.4642991489618
"Hong Kong",2019-05-10,130,23.8,18.5062199732213
"Hong Kong",2019-05-11,131,24.88,17.8345025351073
"Hong Kong",2019-05-12,132,25.48,18.3484387101205
"Hong Kong",2019-05-13,133,25.08,20.8965805448828
"Hong Kong",2019-05-14,134,27.22,22.2034989776373
"Hong Kong",2019-05-15,135,27.78,23.662806741098
"Hong Kong",2019-05-16,136,28.88,23.9418765235184
"Hong Kong",2019-05-17,137,29.18,24.262370130732
"Hong Kong",2019-05-18,138,29.72,24.189213734309
"Hong Kong",2019-05-19,139,29.8,24.4378726983632
"Hong Kong",2019-05-20,140,27,22.9247716316435
"Hong Kong",2019-05-21,141,24.02,18.3960719677507
"Hong Kong",2019-05-22,142,25.76,20.0980761741205
"Hong Kong",2019-05-23,143,25.16,21.1365108108684
"Hong Kong",2019-05-24,144,25.34,20.7143858862602
"Hong Kong",2019-05-25,145,26.94,22.5461008144612
"Hong Kong",2019-05-26,146,25.98,22.4181944264481
"Hong Kong",2019-05-27,147,25.46,22.5576894056948
"Hong Kong",2019-05-28,148,25.18,21.902813097751
"Hong Kong",2019-05-29,149,24.24,19.8362912626088
"Hong Kong",2019-05-30,150,24.54,20.0265067509195
"Hong Kong",2019-05-31,151,25.06,22.1711968658422
"Hong Kong",2019-06-01,152,26.74,22.6135097385243
"Hong Kong",2019-06-02,153,26.56,22.6420218708732
"Hong Kong",2019-06-03,154,26.8,22.7593479275616
"Hong Kong",2019-06-04,155,27.4,23.794877720601
"Hong Kong",2019-06-05,156,28.9,23.8214227469984
"Hong Kong",2019-06-06,157,29.4,23.4752917050798
"Hong Kong",2019-06-07,158,29.34,23.6683072919075
"Hong Kong",2019-06-08,159,29.68,23.4045025001676
"Hong Kong",2019-06-09,160,29.58,23.9643340723339
"Hong Kong",2019-06-10,161,28.02,23.6558397040446
