"MODA","TEMP","DEWP","WDSP","PRCP","RH","AH","LATITUDE","LONGITUDE","Latitude","Longitude","DaySeq"
"01-01",1.9,-10.75,3.15,NA,39.7,2.15774909306548,30.228,120.432,30.7474425,120.7510971,1
"01-02",1.7,-8.55,1.65,NA,48.2,2.60280150967215,30.228,120.432,30.7474425,120.7510971,2
"01-03",4.45,-3,1.7,0,59.15,3.92429478972609,30.228,120.432,30.7474425,120.7510971,3
"01-04",5.75,0.95,1.6,2.54,72.25,5.1300945889168,30.228,120.432,30.7474425,120.7510971,4
"01-05",6.6,1.4,1.25,0,70.55,5.28122650668867,30.228,120.432,30.7474425,120.7510971,5
"01-06",7.55,2.2,1.65,9.91,70.75,5.53574639022362,30.228,120.432,30.7474425,120.7510971,6
"01-07",6.55,0.2,1.6,3.81,66.3,4.80973379352053,30.228,120.432,30.7474425,120.7510971,7
"01-08",5.3,2.55,1.7,0.89,82.45,5.80132678024965,30.228,120.432,30.7474425,120.7510971,8
"01-09",5.5,-0.0999999999999996,3.3,0,68.55,5.16486496118449,30.228,120.432,30.7474425,120.7510971,9
"01-10",5.4,-0.3,1.5,0,68.4,5.61215786492363,30.228,120.432,30.7474425,120.7510971,10
"01-11",6.9,0.8,2.95,5.33,67.6,5.64021246439506,30.228,120.432,30.7474425,120.7510971,11
"01-12",2.4,-3.95,4.2,0.76,63.75,3.79641072990077,30.228,120.432,30.7474425,120.7510971,12
"01-13",0.85,-5.5,2.65,4.83,64.95,3.40145085835606,30.228,120.432,30.7474425,120.7510971,13
"01-14",2.2,-5.25,2.95,0,58.6,3.31457079237506,30.228,120.432,30.7474425,120.7510971,14
"01-15",1.6,-2.2,2.15,2.29,76.55,4.1421447547714,30.228,120.432,30.7474425,120.7510971,15
"01-16",3.55,-2.7,2.05,0,64.55,3.9319596543178,30.228,120.432,30.7474425,120.7510971,16
"01-17",5.4,-0.25,1.3,0.76,69.3,4.67483153145316,30.228,120.432,30.7474425,120.7510971,17
"01-18",6.35,-0.3,1.5,3.56,64.3,4.64150348278201,30.228,120.432,30.7474425,120.7510971,18
"01-19",6.65,3.05,2.3,10.795,78.85,5.92429083730144,30.228,120.432,30.7474425,120.7510971,19
"01-20",6.75,3.7,3,4.825,81.6,6.17445620612504,30.228,120.432,30.7474425,120.7510971,20
"01-21",4.5,2,2.15,2.54,83.9,5.56160309777141,30.228,120.432,30.7474425,120.7510971,21
"01-22",4.3,0.7,2.85,1.905,77.5,5.12156131897519,30.228,120.432,30.7474425,120.7510971,22
"01-23",-0.15,-10.6,4.4,0,48.6,2.40456060122593,30.228,120.432,30.7474425,120.7510971,23
"01-24",-0.4,-11.85,2.8,0,42.1,2.01800671092751,30.228,120.432,30.7474425,120.7510971,24
"01-25",2,-5,1.75,1.02,61.4,3.36281954044383,30.228,120.432,30.7474425,120.7510971,25
"01-26",2,-3.2,1.8,9.4,71.25,3.84862030857007,30.228,120.432,30.7474425,120.7510971,26
"01-27",2.25,-1.75,1.8,5.59,76.35,4.24326159457282,30.228,120.432,30.7474425,120.7510971,27
"01-28",3.8,1.3,1.4,12.575,84.35,5.28891133053964,30.228,120.432,30.7474425,120.7510971,28
"01-29",4.2,1.95,2.3,6.35,85.3,5.77533455078612,30.228,120.432,30.7474425,120.7510971,29
"01-30",3.55,-0.1,2.7,0,77,4.88075657760089,30.228,120.432,30.7474425,120.7510971,30
"01-31",3.3,-3.1,1.8,0,63.3,4.01306213877609,30.228,120.432,30.7474425,120.7510971,31
"02-01",4.2,1.7,1.25,12.825,84.45,5.51710846328667,30.228,120.432,30.7474425,120.7510971,32
"02-02",5.05,1.7,2.5,5.46,79.25,5.60730769957284,30.228,120.432,30.7474425,120.7510971,33
"02-03",4.4,-0.0500000000000003,1.85,3.425,72.8,4.9715804560078,30.228,120.432,30.7474425,120.7510971,34
"02-04",4.5,1.8,1.25,1.65,82.6,5.60122832230646,30.228,120.432,30.7474425,120.7510971,35
"02-05",5.35,3.25,1.6,5.715,86.65,6.14177700009117,30.228,120.432,30.7474425,120.7510971,36
"02-06",5.4,1,2.05,3.3,73.4,5.24669542319475,30.228,120.432,30.7474425,120.7510971,37
"02-07",5.7,0.4,1.85,0,68.75,5.13501837194213,30.228,120.432,30.7474425,120.7510971,38
"02-08",5.45,-0.2,2.8,NA,67,4.94004373553062,30.228,120.432,30.7474425,120.7510971,39
"02-09",3.95,-2.05,2.15,NA,65.15,4.42258196759721,30.228,120.432,30.7474425,120.7510971,40
"02-10",6.9,-0.5,1.65,NA,59.55,4.87721691262053,30.228,120.432,30.7474425,120.7510971,41
"02-11",8.7,0.9,2.25,NA,57.95,5.36524414905664,30.228,120.432,30.7474425,120.7510971,42
"02-12",11.95,0.7,3.5,NA,46.45,5.65411337268192,30.228,120.432,30.7474425,120.7510971,43
"02-13",9.2,-0.75,3.3,0,49.9,5.51408923077053,30.228,120.432,30.7474425,120.7510971,44
"02-14",5.9,-2.25,2,0,57.1,4.53118442766508,30.228,120.432,30.7474425,120.7510971,45
"02-15",6.05,-1.2,2.4,4.32,61.55,4.74604481814344,30.228,120.432,30.7474425,120.7510971,46
"02-16",4.9,-0.05,2.9,12.19,70.95,4.79928932065629,30.228,120.432,30.7474425,120.7510971,47
"02-17",5.85,1.25,3.9,8.38,72.6,5.21336198745822,30.228,120.432,30.7474425,120.7510971,48
"02-18",5.35,2.95,2.15,4.19,84.5,5.92633353025169,30.228,120.432,30.7474425,120.7510971,49
"02-19",6.05,1.8,2.45,4.06,74.45,5.51490150440787,30.228,120.432,30.7474425,120.7510971,50
"02-20",6.9,-1,2.35,NA,57.15,4.40253863899451,30.228,120.432,30.7474425,120.7510971,51
"02-21",11.45,4.1,1.35,4.57,60.9,6.26263109714397,30.228,120.432,30.7474425,120.7510971,52
"02-22",12.3,6.4,2.85,25.4,69.05,7.31807694027525,30.228,120.432,30.7474425,120.7510971,53
"02-23",6.95,2.75,2.95,14.48,75.1,5.86264193002135,30.228,120.432,30.7474425,120.7510971,54
"02-24",7.85,3.05,3.35,9.65,72.1,6.09137956955057,30.228,120.432,30.7474425,120.7510971,55
"02-25",5.9,3,3.55,18.545,81.7,5.89187320665016,30.228,120.432,30.7474425,120.7510971,56
"02-26",4.7,0.55,3.3,16.635,74.95,5.02765906284877,30.228,120.432,30.7474425,120.7510971,57
"02-27",5.45,-2,2.35,15.49,61.5,4.30094006404307,30.228,120.432,30.7474425,120.7510971,58
"02-28",6.2,-1.35,1.85,14.99,61.8,4.37769959275773,30.228,120.432,30.7474425,120.7510971,59
"03-01",9.9,0.65,1.9,1.78,55.15,4.93748644012664,30.228,120.432,30.7474425,120.7510971,60
"03-02",9.55,-1.8,3.3,13.21,53.4,4.28794284355404,30.228,120.432,30.7474425,120.7510971,61
"03-03",7.9,-3.2,2.8,3.3,51.75,3.93475168285881,30.228,120.432,30.7474425,120.7510971,62
"03-04",8.1,-0.8,1.8,2.79,57.7,4.66860816915137,30.228,120.432,30.7474425,120.7510971,63
"03-05",8.35,1.3,2.3,12.45,64.6,5.32296559558322,30.228,120.432,30.7474425,120.7510971,64
"03-06",8.4,3,1.75,4.065,69.15,5.86104715162887,30.228,120.432,30.7474425,120.7510971,65
