"MODA","TEMP","DEWP","WDSP","PRCP","RH","AH","LATITUDE","LONGITUDE","Latitude","Longitude","DaySeq"
"01-01",-10.0125,-22.125,5.3375,1.02,41.7,0.895373731485485,37.2,102.867,38.0000001,101.9999999,1
"01-02",-10.1375,-21.725,5.2375,0.89,46.05,0.926327586547425,37.2,102.867,38.0000001,101.9999999,2
"01-03",-9.3,-20.525,4.3375,0.125,47.1625,1.02959799722774,37.2,102.867,38.0000001,101.9999999,3
"01-04",-8.8,-20.7875,5.475,5.08,40.1375,1.00385126216982,37.2,102.867,38.0000001,101.9999999,4
"01-05",-10.1125,-21.3,5.3,0.51,41.75,0.942188850497405,37.2,102.867,38.0000001,101.9999999,5
"01-06",-12.125,-20.1875,5.55,0.255,52.95,1.0581299439532,37.2,102.867,38.0000001,101.9999999,6
"01-07",-13.2625,-20.55,5.1375,0.76,55.5375,1.02386587719202,37.2,102.867,38.0000001,101.9999999,7
"01-08",-13.55,-22.1,4.0625,0.125,51.9,0.896516636732633,37.2,102.867,38.0000001,101.9999999,8
"01-09",-12.3375,-23.3125,4.675,0.125,45.3,0.814825603534794,37.2,102.867,38.0000001,101.9999999,9
"01-10",-13.075,-23.6875,5.0625,0,46.1,0.797096417900871,37.2,102.867,38.0000001,101.9999999,10
"01-11",-11.3375,-23.8875,4.2,0.38,38.1,0.771135887028568,37.2,102.867,38.0000001,101.9999999,11
"01-12",-10.15,-25.025,3.8125,NA,31.9,0.689744126231381,37.2,102.867,38.0000001,101.9999999,12
"01-13",-10.325,-23.275,5.0375,0,36.1125,0.79756278104142,37.2,102.867,38.0000001,101.9999999,13
"01-14",-11.3125,-22.2125,5.125,0.125,43.1375,0.879224498270508,37.2,102.867,38.0000001,101.9999999,14
"01-15",-10.5875,-22.7,4.775,0,37.0125,0.840543119497659,37.2,102.867,38.0000001,101.9999999,15
"01-16",-11.0125,-22.525,5.55,0,39.9125,0.865449682296336,37.2,102.867,38.0000001,101.9999999,16
"01-17",-11.275,-21.1375,4.9,0.5725,47.725,0.974371818073438,37.2,102.867,38.0000001,101.9999999,17
"01-18",-10.0125,-22.8625,5.1625,1.015,37.775,0.834347605829672,37.2,102.867,38.0000001,101.9999999,18
"01-19",-12.4125,-22.9,5.725,0.255,46.575,0.855745835760896,37.2,102.867,38.0000001,101.9999999,19
"01-20",-12.85,-23.125,5.2375,0.76,51.1375,0.872627372837157,37.2,102.867,38.0000001,101.9999999,20
"01-21",-11.65,-22.8375,5.025,1.015,47.6,0.861592720330711,37.2,102.867,38.0000001,101.9999999,21
"01-22",-10.5125,-23.8625,5.425,0.51,39.8875,0.787439032093691,37.2,102.867,38.0000001,101.9999999,22
"01-23",-10.9375,-24.1,6.225,0.51,39.2625,0.759879832472469,37.2,102.867,38.0000001,101.9999999,23
"01-24",-10.0375,-22.1375,4.9125,0.255,40.425,0.903343949042626,37.2,102.867,38.0000001,101.9999999,24
"01-25",-9.1625,-21.825,5.1875,0,36.625,0.906135691272572,37.2,102.867,38.0000001,101.9999999,25
"01-26",-9.975,-21.3,5.975,0,42.55,0.964092236700616,37.2,102.867,38.0000001,101.9999999,26
