"SID","Location","Province","YEARMODA","YEAR","DaySeq","TEMP","AH"
"D1212",NA,"Hong Kong",2015-01-01,2015,1,15.24,7.18925555262479
"D1212",NA,"Hong Kong",2015-01-02,2015,2,13.92,7.57094818181485
"D1212",NA,"Hong Kong",2015-01-03,2015,3,15.18,8.46394486182852
"D1212",NA,"Hong Kong",2015-01-04,2015,4,18.06,11.445977031099
"D1212",NA,"Hong Kong",2015-01-05,2015,5,19.5,13.7050108068129
"D1212",NA,"Hong Kong",2015-01-06,2015,6,19.86,14.4185107853549
"D1212",NA,"Hong Kong",2015-01-07,2015,7,16.28,9.10397353831789
"D1212",NA,"Hong Kong",2015-01-08,2015,8,14.18,7.78150326964735
"D1212",NA,"Hong Kong",2015-01-09,2015,9,13.98,7.85353701187036
"D1212",NA,"Hong Kong",2015-01-10,2015,10,16.02,8.40762158495462
"D1212",NA,"Hong Kong",2015-01-11,2015,11,15.94,8.58364540845679
"D1212",NA,"Hong Kong",2015-01-12,2015,12,11.84,9.61605879314391
"D1212",NA,"Hong Kong",2015-01-13,2015,13,11.5,8.92362957705983
"D1212",NA,"Hong Kong",2015-01-14,2015,14,12.98,7.06223304063003
"D1212",NA,"Hong Kong",2015-01-15,2015,15,13.7,8.10049828774913
"D1212",NA,"Hong Kong",2015-01-16,2015,16,15.86,8.19080372804715
"D1212",NA,"Hong Kong",2015-01-17,2015,17,15.18,8.44810056846405
"D1212",NA,"Hong Kong",2015-01-18,2015,18,15.24,6.95988063140178
"D1212",NA,"Hong Kong",2015-01-19,2015,19,14.9,7.02847737951226
"D1212",NA,"Hong Kong",2015-01-20,2015,20,14.9,8.50954709288395
"D1212",NA,"Hong Kong",2015-01-21,2015,21,16.04,8.99721716858132
"D1212",NA,"Hong Kong",2015-01-22,2015,22,15.62,6.66419671426683
"D1212",NA,"Hong Kong",2015-01-23,2015,23,16.36,9.02724415925923
"D1212",NA,"Hong Kong",2015-01-24,2015,24,17.56,11.5482030443582
"D1212",NA,"Hong Kong",2015-01-25,2015,25,18.58,12.7657413263244
"D1212",NA,"Hong Kong",2015-01-26,2015,26,18.72,13.0351519399862
"D1212",NA,"Hong Kong",2015-01-27,2015,27,18,12.0968613298348
"D1212",NA,"Hong Kong",2015-01-28,2015,28,16.54,10.2026789724322
"D1212",NA,"Hong Kong",2015-01-29,2015,29,16.76,10.9671546425723
"D1212",NA,"Hong Kong",2015-01-30,2015,30,15.78,9.67312422581037
"D1212",NA,"Hong Kong",2015-01-31,2015,31,14.08,9.14303714246699
"D1212",NA,"Hong Kong",2015-02-01,2015,32,14.54,9.12489011170696
"D1212",NA,"Hong Kong",2015-02-02,2015,33,16.08,10.1560647072242
"D1212",NA,"Hong Kong",2015-02-03,2015,34,17,11.4623526194574
"D1212",NA,"Hong Kong",2015-02-04,2015,35,14.88,8.68454454099158
"D1212",NA,"Hong Kong",2015-02-05,2015,36,12.48,6.23864029794995
"D1212",NA,"Hong Kong",2015-02-06,2015,37,13.08,7.71662824553734
"D1212",NA,"Hong Kong",2015-02-07,2015,38,15.76,8.31122413267103
"D1212",NA,"Hong Kong",2015-02-08,2015,39,14.94,5.89369916614624
"D1212",NA,"Hong Kong",2015-02-09,2015,40,13.72,7.81632342653825
"D1212",NA,"Hong Kong",2015-02-10,2015,41,13.94,8.16477768918648
"D1212",NA,"Hong Kong",2015-02-11,2015,42,15.68,8.6576535047209
"D1212",NA,"Hong Kong",2015-02-12,2015,43,15.96,7.58843414683985
"D1212",NA,"Hong Kong",2015-02-13,2015,44,17.82,6.39099254522808
"D1212",NA,"Hong Kong",2015-02-14,2015,45,19.52,9.83503990703915
"D1212",NA,"Hong Kong",2015-02-15,2015,46,18.2,14.1382219435806
"D1212",NA,"Hong Kong",2015-02-16,2015,47,18.86,14.3211618186737
"D1212",NA,"Hong Kong",2015-02-17,2015,48,19.04,13.3969209519268
"D1212",NA,"Hong Kong",2015-02-18,2015,49,18.54,10.8609248605183
"D1212",NA,"Hong Kong",2015-02-19,2015,50,17.34,10.9901144088163
"D1212",NA,"Hong Kong",2015-02-20,2015,51,18.96,13.2304855666879
"D1212",NA,"Hong Kong",2015-02-21,2015,52,20.34,15.4498817965103
"D1212",NA,"Hong Kong",2015-02-22,2015,53,20.26,15.9395934953814
"D1212",NA,"Hong Kong",2015-02-23,2015,54,19.48,15.1489596775059
"D1212",NA,"Hong Kong",2015-02-24,2015,55,20.4,15.7445120577187
"D1212",NA,"Hong Kong",2015-02-25,2015,56,20.74,16.1983722482994
"D1212",NA,"Hong Kong",2015-02-26,2015,57,22.4,16.559273583481
"D1212",NA,"Hong Kong",2015-02-27,2015,58,19.04,14.2415777947301
"D1212",NA,"Hong Kong",2015-02-28,2015,59,19.3,13.9147341713373
"D1212",NA,"Hong Kong",2015-03-01,2015,60,18,9.66532454359167
"D1212",NA,"Hong Kong",2015-03-02,2015,61,17.36,12.2541957816074
"D1212",NA,"Hong Kong",2015-03-03,2015,62,19.12,14.1718430032532
"D1212",NA,"Hong Kong",2015-03-04,2015,63,16.24,12.4400717636674
"D1212",NA,"Hong Kong",2015-03-05,2015,64,17.14,13.1088855240781
"D1212",NA,"Hong Kong",2015-03-06,2015,65,16.34,12.771634986835
"D1212",NA,"Hong Kong",2015-03-07,2015,66,17.48,13.080054359286
"D1212",NA,"Hong Kong",2015-03-08,2015,67,18.88,13.7180069068764
"D1212",NA,"Hong Kong",2015-03-09,2015,68,20.7,13.9496636278353
"D1212",NA,"Hong Kong",2015-03-10,2015,69,17.12,10.2375153603279
"D1212",NA,"Hong Kong",2015-03-11,2015,70,15.5,10.9664205033977
"D1212",NA,"Hong Kong",2015-03-12,2015,71,14.94,11.5681331752833
"D1212",NA,"Hong Kong",2015-03-13,2015,72,18.1,11.8949153723017
"D1212",NA,"Hong Kong",2015-03-14,2015,73,20.34,14.9567642782745
"D1212",NA,"Hong Kong",2015-03-15,2015,74,21.66,17.0745077524622
"D1212",NA,"Hong Kong",2015-03-16,2015,75,22.78,17.6788154196897
"D1212",NA,"Hong Kong",2015-03-17,2015,76,23.08,17.3842911874017
"D1212",NA,"Hong Kong",2015-03-18,2015,77,23.7,18.2193132860052
"D1212",NA,"Hong Kong",2015-03-19,2015,78,23.68,18.3118134424686
"D1212",NA,"Hong Kong",2015-03-20,2015,79,22.8,17.2733699112298
"D1212",NA,"Hong Kong",2015-03-21,2015,80,22.32,17.0233945812024
"D1212",NA,"Hong Kong",2015-03-22,2015,81,20.6,12.861239635176
"D1212",NA,"Hong Kong",2015-03-23,2015,82,20.76,11.9617769136002
"D1212",NA,"Hong Kong",2015-03-24,2015,83,19.34,11.9534672787155
"D1212",NA,"Hong Kong",2015-03-25,2015,84,17.76,11.8450818413117
"D1212",NA,"Hong Kong",2015-03-26,2015,85,18.82,13.0013620530369
"D1212",NA,"Hong Kong",2015-03-27,2015,86,20.12,14.5594708174134
"D1212",NA,"Hong Kong",2015-03-28,2015,87,20.94,14.3478822662339
"D1212",NA,"Hong Kong",2015-03-29,2015,88,22.2,15.6097348869862
"D1212",NA,"Hong Kong",2015-03-30,2015,89,23.66,17.4154402858576
"D1212",NA,"Hong Kong",2015-03-31,2015,90,23.9,18.1679466007075
"D1212",NA,"Hong Kong",2015-04-01,2015,91,24.8,18.5851846246307
"D1212",NA,"Hong Kong",2015-04-02,2015,92,25.86,19.1211273099552
"D1212",NA,"Hong Kong",2015-04-03,2015,93,25.9,19.6094667518141
"D1212",NA,"Hong Kong",2015-04-04,2015,94,26.34,19.3286861821503
"D1212",NA,"Hong Kong",2015-04-05,2015,95,25.72,17.9653580971026
"D1212",NA,"Hong Kong",2015-04-06,2015,96,26.68,19.3530488082606
"D1212",NA,"Hong Kong",2015-04-07,2015,97,23.56,15.8031778728904
"D1212",NA,"Hong Kong",2015-04-08,2015,98,15.88,11.0299157504479
"D1212",NA,"Hong Kong",2015-04-09,2015,99,16.64,12.50482768019
"D1212",NA,"Hong Kong",2015-04-10,2015,100,16.14,12.2849850671686
