"SID","Location","Province","YEARMODA","YEAR","DaySeq","TEMP","AH"
"L0130",NA,"Zhejiang",2009-01-01,2009,1,3.93333333333333,2.07830898652349
"L0130",NA,"Zhejiang",2009-01-02,2009,2,3.43333333333333,3.12214548769196
"L0130",NA,"Zhejiang",2009-01-03,2009,3,6.66666666666667,4.8209706580193
"L0130",NA,"Zhejiang",2009-01-04,2009,4,8.23333333333333,6.06772059733961
"L0130",NA,"Zhejiang",2009-01-05,2009,5,9.56666666666667,6.59850229197261
"L0130",NA,"Zhejiang",2009-01-06,2009,6,10.6666666666667,7.25694263857693
"L0130",NA,"Zhejiang",2009-01-07,2009,7,6.16666666666667,5.99201230131538
"L0130",NA,"Zhejiang",2009-01-08,2009,8,5.86666666666667,4.86675828048998
"L0130",NA,"Zhejiang",2009-01-09,2009,9,6.2,2.69991641799257
"L0130",NA,"Zhejiang",2009-01-10,2009,10,2.6,2.26811110848519
"L0130",NA,"Zhejiang",2009-01-11,2009,11,4.13333333333333,3.16905905222741
"L0130",NA,"Zhejiang",2009-01-12,2009,12,3.23333333333333,2.94835176455375
"L0130",NA,"Zhejiang",2009-01-13,2009,13,1.73333333333333,2.34872491051409
"L0130",NA,"Zhejiang",2009-01-14,2009,14,3.33333333333333,2.71367153386041
"L0130",NA,"Zhejiang",2009-01-15,2009,15,3.26666666666667,3.1836379520932
"L0130",NA,"Zhejiang",2009-01-16,2009,16,6.53333333333333,4.16693033550674
"L0130",NA,"Zhejiang",2009-01-17,2009,17,10.9666666666667,6.23273047999633
"L0130",NA,"Zhejiang",2009-01-18,2009,18,12.5333333333333,6.99486291906135
"L0130",NA,"Zhejiang",2009-01-19,2009,19,10.2333333333333,5.12019155647318
"L0130",NA,"Zhejiang",2009-01-20,2009,20,12.0666666666667,6.98230401196556
"L0130",NA,"Zhejiang",2009-01-21,2009,21,11.2333333333333,7.21610649346561
"L0130",NA,"Zhejiang",2009-01-22,2009,22,10.1333333333333,7.83731481497427
"L0130",NA,"Zhejiang",2009-01-23,2009,23,3.13333333333333,2.75453237720227
"L0130",NA,"Zhejiang",2009-01-24,2009,24,1.33333333333333,2.11292942794997
"L0130",NA,"Zhejiang",2009-01-25,2009,25,4.16666666666667,3.31801656252183
"L0130",NA,"Zhejiang",2009-01-26,2009,26,2.56666666666667,4.79333452168468
"L0130",NA,"Zhejiang",2009-01-27,2009,27,5.53333333333333,5.32532650529237
"L0130",NA,"Zhejiang",2009-01-28,2009,28,7.56666666666667,7.2320026597668
"L0130",NA,"Zhejiang",2009-01-29,2009,29,10.9666666666667,8.96858686390014
"L0130",NA,"Zhejiang",2009-01-30,2009,30,10.4,7.05667609475817
"L0130",NA,"Zhejiang",2009-01-31,2009,31,9.7,5.95764968559148
"L0130",NA,"Zhejiang",2009-02-01,2009,32,12.2333333333333,7.08791962821093
"L0130",NA,"Zhejiang",2009-02-02,2009,33,14,9.54232470096398
"L0130",NA,"Zhejiang",2009-02-03,2009,34,12.2333333333333,8.61855680501768
"L0130",NA,"Zhejiang",2009-02-04,2009,35,12.1,8.64107336816798
"L0130",NA,"Zhejiang",2009-02-05,2009,36,12.6333333333333,8.72746745833573
"L0130",NA,"Zhejiang",2009-02-06,2009,37,12.3666666666667,7.76314280518408
"L0130",NA,"Zhejiang",2009-02-07,2009,38,13.8666666666667,8.29725142221691
"L0130",NA,"Zhejiang",2009-02-08,2009,39,12.2,8.12089137405367
"L0130",NA,"Zhejiang",2009-02-09,2009,40,12.3333333333333,8.26224948164291
"L0130",NA,"Zhejiang",2009-02-10,2009,41,11.5,7.72046170016479
"L0130",NA,"Zhejiang",2009-02-11,2009,42,15.3333333333333,9.01837133241884
"L0130",NA,"Zhejiang",2009-02-12,2009,43,18.6,10.630282955193
"L0130",NA,"Zhejiang",2009-02-13,2009,44,20.7666666666667,10.8036908077244
"L0130",NA,"Zhejiang",2009-02-14,2009,45,14.7,9.19991691849644
"L0130",NA,"Zhejiang",2009-02-15,2009,46,11.7666666666667,8.1272891192321
"L0130",NA,"Zhejiang",2009-02-16,2009,47,7.96666666666667,6.62521355463557
