"SID","Location","Province","YEARMODA","YEAR","DaySeq","TEMP","AH"
"L0343","Wenzhou","Zhejiang",2005-01-01,2005,1,1.26666666666667,2.45167003322367
"L0343","Wenzhou","Zhejiang",2005-01-02,2005,2,4.4,3.8819709952877
"L0343","Wenzhou","Zhejiang",2005-01-03,2005,3,7.93333333333333,5.83797411563355
"L0343","Wenzhou","Zhejiang",2005-01-04,2005,4,9.2,4.99238023000727
"L0343","Wenzhou","Zhejiang",2005-01-05,2005,5,7.46666666666667,6.17864990336481
"L0343","Wenzhou","Zhejiang",2005-01-06,2005,6,8.8,6.40658217398333
"L0343","Wenzhou","Zhejiang",2005-01-07,2005,7,8.46666666666667,5.57722539662694
"L0343","Wenzhou","Zhejiang",2005-01-08,2005,8,7.7,4.91220367177365
"L0343","Wenzhou","Zhejiang",2005-01-09,2005,9,5.1,4.11044510855856
"L0343","Wenzhou","Zhejiang",2005-01-10,2005,10,6.8,4.24660675421082
"L0343","Wenzhou","Zhejiang",2005-01-11,2005,11,5,5.68798880537544
"L0343","Wenzhou","Zhejiang",2005-01-12,2005,12,4.46666666666667,5.04031436725976
"L0343","Wenzhou","Zhejiang",2005-01-13,2005,13,3.13333333333333,5.25144979645379
"L0343","Wenzhou","Zhejiang",2005-01-14,2005,14,3.53333333333333,4.54672133281509
"L0343","Wenzhou","Zhejiang",2005-01-15,2005,15,3.96666666666667,3.73862864036273
"L0343","Wenzhou","Zhejiang",2005-01-16,2005,16,3.8,3.47121410457866
"L0343","Wenzhou","Zhejiang",2005-01-17,2005,17,5.03333333333333,3.99163793717368
"L0343","Wenzhou","Zhejiang",2005-01-18,2005,18,8.06666666666667,5.41677141616837
"L0343","Wenzhou","Zhejiang",2005-01-19,2005,19,7.3,5.75567650632961
"L0343","Wenzhou","Zhejiang",2005-01-20,2005,20,6,4.93423979495431
"L0343","Wenzhou","Zhejiang",2005-01-21,2005,21,5.63333333333333,5.83320932432876
"L0343","Wenzhou","Zhejiang",2005-01-22,2005,22,7,6.88219185704941
"L0343","Wenzhou","Zhejiang",2005-01-23,2005,23,8,6.53917258716059
"L0343","Wenzhou","Zhejiang",2005-01-24,2005,24,11.9666666666667,7.78580941735024
"L0343","Wenzhou","Zhejiang",2005-01-25,2005,25,11.2666666666667,7.74118807603234
"L0343","Wenzhou","Zhejiang",2005-01-26,2005,26,6.43333333333333,6.60105942341995
"L0343","Wenzhou","Zhejiang",2005-01-27,2005,27,7.93333333333333,7.4679074094089
"L0343","Wenzhou","Zhejiang",2005-01-28,2005,28,8.43333333333333,7.57828661235357
"L0343","Wenzhou","Zhejiang",2005-01-29,2005,29,9.36666666666667,7.4368203002408
"L0343","Wenzhou","Zhejiang",2005-01-30,2005,30,4.83333333333333,5.22110537148785
"L0343","Wenzhou","Zhejiang",2005-01-31,2005,31,4.56666666666667,4.49549697286317
"L0343","Wenzhou","Zhejiang",2005-02-01,2005,32,5.6,3.91251219351331
"L0343","Wenzhou","Zhejiang",2005-02-02,2005,33,3.7,3.69931753578116
"L0343","Wenzhou","Zhejiang",2005-02-03,2005,34,4.33333333333333,5.58922264828122
"L0343","Wenzhou","Zhejiang",2005-02-04,2005,35,11.2333333333333,8.14374815213397
"L0343","Wenzhou","Zhejiang",2005-02-05,2005,36,12.5666666666667,9.25312161506649
"L0343","Wenzhou","Zhejiang",2005-02-06,2005,37,13.3,9.89423442139054
"L0343","Wenzhou","Zhejiang",2005-02-07,2005,38,10.7333333333333,8.70489241830389
"L0343","Wenzhou","Zhejiang",2005-02-08,2005,39,8.46666666666667,7.48667057405096
"L0343","Wenzhou","Zhejiang",2005-02-09,2005,40,10.8333333333333,8.52883505220032
"L0343","Wenzhou","Zhejiang",2005-02-10,2005,41,5.23333333333333,5.71735303615303
"L0343","Wenzhou","Zhejiang",2005-02-11,2005,42,5.83333333333333,5.58574043655657
"L0343","Wenzhou","Zhejiang",2005-02-12,2005,43,7.2,6.34688528745188
"L0343","Wenzhou","Zhejiang",2005-02-13,2005,44,7.4,6.61910744071434
"L0343","Wenzhou","Zhejiang",2005-02-14,2005,45,10.8,8.75810589705628
"L0343","Wenzhou","Zhejiang",2005-02-15,2005,46,14.3,11.0783465928375
"L0343","Wenzhou","Zhejiang",2005-02-16,2005,47,8.86666666666667,7.85255307539903
"L0343","Wenzhou","Zhejiang",2005-02-17,2005,48,7.4,7.06066523945731
"L0343","Wenzhou","Zhejiang",2005-02-18,2005,49,7.83333333333333,5.66227224396974
