"SID","Location","Province","YEARMODA","YEAR","DaySeq","TEMP","AH"
"L0852",NA,"Hong Kong",1993-01-01,1993,1,16.85,9.87715211555904
"L0852",NA,"Hong Kong",1993-01-02,1993,2,18.3,11.3964433254156
"L0852",NA,"Hong Kong",1993-01-03,1993,3,18.25,12.6907416922494
"L0852",NA,"Hong Kong",1993-01-04,1993,4,19.25,12.7784365675039
"L0852",NA,"Hong Kong",1993-01-05,1993,5,18.15,12.4851530781797
"L0852",NA,"Hong Kong",1993-01-06,1993,6,18.7,13.1328752809861
"L0852",NA,"Hong Kong",1993-01-07,1993,7,19.95,14.1969549286524
"L0852",NA,"Hong Kong",1993-01-08,1993,8,19.15,13.6043873741707
"L0852",NA,"Hong Kong",1993-01-09,1993,9,20.45,13.5461261477933
"L0852",NA,"Hong Kong",1993-01-10,1993,10,22,13.6456874591634
"L0852",NA,"Hong Kong",1993-01-11,1993,11,19.25,13.603810973409
"L0852",NA,"Hong Kong",1993-01-12,1993,12,19.35,13.1727855185984
"L0852",NA,"Hong Kong",1993-01-13,1993,13,20,14.2280588449397
"L0852",NA,"Hong Kong",1993-01-14,1993,14,14.1833333333333,9.95507262877043
"L0852",NA,"Hong Kong",1993-01-15,1993,15,7.1,6.47489789026296
"L0852",NA,"Hong Kong",1993-01-16,1993,16,7.4,4.27982831789933
"L0852",NA,"Hong Kong",1993-01-17,1993,17,5.95,5.40006581573186
"L0852",NA,"Hong Kong",1993-01-18,1993,18,6.25,5.79072133051119
"L0852",NA,"Hong Kong",1993-01-19,1993,19,8.05,6.41949538587573
"L0852",NA,"Hong Kong",1993-01-20,1993,20,9.15,7.26077502948114
"L0852",NA,"Hong Kong",1993-01-21,1993,21,8.9,6.67772287966855
"L0852",NA,"Hong Kong",1993-01-22,1993,22,9.6,7.03836087404731
"L0852",NA,"Hong Kong",1993-01-23,1993,23,7.15,6.29560351183368
"L0852",NA,"Hong Kong",1993-01-24,1993,24,9.75,4.67091846635916
"L0852",NA,"Hong Kong",1993-01-25,1993,25,11,4.83117330418704
"L0852",NA,"Hong Kong",1993-01-26,1993,26,12.5,4.8515301050882
"L0852",NA,"Hong Kong",1993-01-27,1993,27,12.5,2.80902736676812
"L0852",NA,"Hong Kong",1993-01-28,1993,28,10.2,3.01279506980806
"L0852",NA,"Hong Kong",1993-01-29,1993,29,11.9,4.28622247057022
"L0852",NA,"Hong Kong",1993-01-30,1993,30,14.4,5.18062995848629
"L0852",NA,"Hong Kong",1993-01-31,1993,31,14.95,6.374972362471
"L0852",NA,"Hong Kong",1993-02-01,1993,32,15.65,7.1446607489516
"L0852",NA,"Hong Kong",1993-02-02,1993,33,14.6,7.93034841560296
"L0852",NA,"Hong Kong",1993-02-03,1993,34,16.35,8.88971480159969
"L0852",NA,"Hong Kong",1993-02-04,1993,35,18.05,9.80157395788711
"L0852",NA,"Hong Kong",1993-02-05,1993,36,18.8,9.46989103485195
"L0852",NA,"Hong Kong",1993-02-06,1993,37,19,13.6253100978029
