"SID","Location","Province","YEARMODA","YEAR","DaySeq","TEMP","AH"
"L0938","Lanzhou","Gansu",2011-01-01,2011,1,-7.95,2.28956410718408
"L0938","Lanzhou","Gansu",2011-01-02,2011,2,-7.3,2.32090808139326
"L0938","Lanzhou","Gansu",2011-01-03,2011,3,-11.9,1.67369658675743
"L0938","Lanzhou","Gansu",2011-01-04,2011,4,-11.9,1.57237417212129
"L0938","Lanzhou","Gansu",2011-01-05,2011,5,-13.6,1.28963549986163
"L0938","Lanzhou","Gansu",2011-01-06,2011,6,-12.2,1.41954608255279
"L0938","Lanzhou","Gansu",2011-01-07,2011,7,-10.2,1.55411274915589
"L0938","Lanzhou","Gansu",2011-01-08,2011,8,-12.95,1.23944767983794
"L0938","Lanzhou","Gansu",2011-01-09,2011,9,-12.9,1.30935880657567
"L0938","Lanzhou","Gansu",2011-01-10,2011,10,-14.75,1.07403661172547
"L0938","Lanzhou","Gansu",2011-01-11,2011,11,-13.85,1.07044854699148
"L0938","Lanzhou","Gansu",2011-01-12,2011,12,-12.6,1.08813250182584
"L0938","Lanzhou","Gansu",2011-01-13,2011,13,-10.75,1.12507137820794
"L0938","Lanzhou","Gansu",2011-01-14,2011,14,-14.45,0.997599743092004
"L0938","Lanzhou","Gansu",2011-01-15,2011,15,-14.7,1.00960836508131
"L0938","Lanzhou","Gansu",2011-01-16,2011,16,-13.6,1.12433192008302
"L0938","Lanzhou","Gansu",2011-01-17,2011,17,-14.7,1.02071630629812
"L0938","Lanzhou","Gansu",2011-01-18,2011,18,-12.9,1.26445762255652
"L0938","Lanzhou","Gansu",2011-01-19,2011,19,-11.95,1.22572699394693
"L0938","Lanzhou","Gansu",2011-01-20,2011,20,-11.5,1.16328010376211
"L0938","Lanzhou","Gansu",2011-01-21,2011,21,-11.15,1.17177198793819
"L0938","Lanzhou","Gansu",2011-01-22,2011,22,-11.25,1.24630308499125
"L0938","Lanzhou","Gansu",2011-01-23,2011,23,-10.25,1.17654556145366
"L0938","Lanzhou","Gansu",2011-01-24,2011,24,-8.95,1.11604072219242
"L0938","Lanzhou","Gansu",2011-01-25,2011,25,-6,1.34580196390816
"L0938","Lanzhou","Gansu",2011-01-26,2011,26,-7.45,2.07545747813019
"L0938","Lanzhou","Gansu",2011-01-27,2011,27,-11.25,1.54476257223259
"L0938","Lanzhou","Gansu",2011-01-28,2011,28,-14.45,1.26699014494676
"L0938","Lanzhou","Gansu",2011-01-29,2011,29,-13,1.16845102792064
"L0938","Lanzhou","Gansu",2011-01-30,2011,30,-12.7,1.20514812350016
"L0938","Lanzhou","Gansu",2011-01-31,2011,31,-10.4,1.15006083036243
"L0938","Lanzhou","Gansu",2011-02-01,2011,32,-8,1.09803234206393
"L0938","Lanzhou","Gansu",2011-02-02,2011,33,-5.75,1.14563942743691
"L0938","Lanzhou","Gansu",2011-02-03,2011,34,-3.95,1.23219780763011
"L0938","Lanzhou","Gansu",2011-02-04,2011,35,-2.1,1.57615531592713
"L0938","Lanzhou","Gansu",2011-02-05,2011,36,-0.1,1.7546731352099
"L0938","Lanzhou","Gansu",2011-02-06,2011,37,1,2.06781144202032
"L0938","Lanzhou","Gansu",2011-02-07,2011,38,-2.25,2.34609715677427
"L0938","Lanzhou","Gansu",2011-02-08,2011,39,-0.4,2.57486076460692
"L0938","Lanzhou","Gansu",2011-02-09,2011,40,-1.8,2.39499699163136
"L0938","Lanzhou","Gansu",2011-02-10,2011,41,-1.6,2.25007037081542
"L0938","Lanzhou","Gansu",2011-02-11,2011,42,-1.75,2.05858269027559
"L0938","Lanzhou","Gansu",2011-02-12,2011,43,-4.2,1.77473303578662
"L0938","Lanzhou","Gansu",2011-02-13,2011,44,-6.2,1.52900112105368
"L0938","Lanzhou","Gansu",2011-02-14,2011,45,-2.65,2.29686593823063
"L0938","Lanzhou","Gansu",2011-02-15,2011,46,-3.45,2.28586187380229
"L0938","Lanzhou","Gansu",2011-02-16,2011,47,-3.65,1.63440958704053
"L0938","Lanzhou","Gansu",2011-02-17,2011,48,-1.75,2.1587153687546
"L0938","Lanzhou","Gansu",2011-02-18,2011,49,-4.3,3.11171894422784
"L0938","Lanzhou","Gansu",2011-02-19,2011,50,-3.5,2.69698020526005
"L0938","Lanzhou","Gansu",2011-02-20,2011,51,-1.85,2.97379797375787
"L0938","Lanzhou","Gansu",2011-02-21,2011,52,-0.45,3.02369305544398
"L0938","Lanzhou","Gansu",2011-02-22,2011,53,1.75,2.11571178169123
"L0938","Lanzhou","Gansu",2011-02-23,2011,54,5.05,1.75817414901099
"L0938","Lanzhou","Gansu",2011-02-24,2011,55,3.9,2.78250691170487
"L0938","Lanzhou","Gansu",2011-02-25,2011,56,4.6,3.12786342814666
"L0938","Lanzhou","Gansu",2011-02-26,2011,57,-0.95,3.09418926589143
"L0938","Lanzhou","Gansu",2011-02-27,2011,58,-4.35,2.94816327429868
"L0938","Lanzhou","Gansu",2011-02-28,2011,59,-7.15,2.25598969890348
"L0938","Lanzhou","Gansu",2011-03-01,2011,60,-3.2,2.45227654351698
"L0938","Lanzhou","Gansu",2011-03-02,2011,61,-3.25,1.85111422216197
