"SID","Location","Province","YEARMODA","YEAR","DaySeq","TEMP","AH"
"L0942","Taoyuan","Taiwan",2010-01-01,2010,1,17.1,10.6806134916018
"L0942","Taoyuan","Taiwan",2010-01-02,2010,2,16.4,12.1103329203879
"L0942","Taoyuan","Taiwan",2010-01-03,2010,3,15.9,11.3035539807641
"L0942","Taoyuan","Taiwan",2010-01-04,2010,4,17.9,11.6611889182756
"L0942","Taoyuan","Taiwan",2010-01-05,2010,5,14.3,10.4265040194439
"L0942","Taoyuan","Taiwan",2010-01-06,2010,6,14.1,10.8574731440319
"L0942","Taoyuan","Taiwan",2010-01-07,2010,7,13.4,10.6670057643687
"L0942","Taoyuan","Taiwan",2010-01-08,2010,8,14.1,10.9302606734891
"L0942","Taoyuan","Taiwan",2010-01-09,2010,9,18.5,12.5112921140457
"L0942","Taoyuan","Taiwan",2010-01-10,2010,10,18.3,12.5982470134352
"L0942","Taoyuan","Taiwan",2010-01-11,2010,11,15.3,10.5995203703103
"L0942","Taoyuan","Taiwan",2010-01-12,2010,12,9.5,7.58004801553783
"L0942","Taoyuan","Taiwan",2010-01-13,2010,13,11.6,5.84953367951249
"L0942","Taoyuan","Taiwan",2010-01-14,2010,14,14.5,7.24796956590238
"L0942","Taoyuan","Taiwan",2010-01-15,2010,15,18.3,9.19078069962764
"L0942","Taoyuan","Taiwan",2010-01-16,2010,16,16.4,10.7011812787299
"L0942","Taoyuan","Taiwan",2010-01-17,2010,17,17.1,10.7533697142966
"L0942","Taoyuan","Taiwan",2010-01-18,2010,18,20.6,11.0409445153816
"L0942","Taoyuan","Taiwan",2010-01-19,2010,19,21.8,12.5275766297255
"L0942","Taoyuan","Taiwan",2010-01-20,2010,20,22.6,13.1581260377705
"L0942","Taoyuan","Taiwan",2010-01-21,2010,21,18.9,12.3250088294424
"L0942","Taoyuan","Taiwan",2010-01-22,2010,22,14.6,10.7697633845964
"L0942","Taoyuan","Taiwan",2010-01-23,2010,23,14.7,11.3391600202767
"L0942","Taoyuan","Taiwan",2010-01-24,2010,24,18.1,13.9631942009676
"L0942","Taoyuan","Taiwan",2010-01-25,2010,25,15.2,11.3267162354208
"L0942","Taoyuan","Taiwan",2010-01-26,2010,26,16.6,10.2800756027687
"L0942","Taoyuan","Taiwan",2010-01-27,2010,27,20.6,13.06302997768
"L0942","Taoyuan","Taiwan",2010-01-28,2010,28,19,13.570997150301
"L0942","Taoyuan","Taiwan",2010-01-29,2010,29,19.4,12.7103731921183
"L0942","Taoyuan","Taiwan",2010-01-30,2010,30,19.3,12.884519323128
"L0942","Taoyuan","Taiwan",2010-01-31,2010,31,21.6,13.97662104704
"L0942","Taoyuan","Taiwan",2010-02-01,2010,32,17.6,12.1441987126953
"L0942","Taoyuan","Taiwan",2010-02-02,2010,33,18.1,12.4340390838262
"L0942","Taoyuan","Taiwan",2010-02-03,2010,34,17.3,12.7973356854912
"L0942","Taoyuan","Taiwan",2010-02-04,2010,35,17.6,12.9538119602083
"L0942","Taoyuan","Taiwan",2010-02-05,2010,36,18.2,13.3471915575798
"L0942","Taoyuan","Taiwan",2010-02-06,2010,37,18,13.6193866460616
"L0942","Taoyuan","Taiwan",2010-02-07,2010,38,17.1,13.0524663514534
"L0942","Taoyuan","Taiwan",2010-02-08,2010,39,20.9,14.5496519908707
"L0942","Taoyuan","Taiwan",2010-02-09,2010,40,20.8,14.9178679465747
"L0942","Taoyuan","Taiwan",2010-02-10,2010,41,22.3,16.0135857447319
"L0942","Taoyuan","Taiwan",2010-02-11,2010,42,20.2,12.7615432475186
"L0942","Taoyuan","Taiwan",2010-02-12,2010,43,12,8.5436870566541
"L0942","Taoyuan","Taiwan",2010-02-13,2010,44,13.9,10.9406386692782
"L0942","Taoyuan","Taiwan",2010-02-14,2010,45,16.9,12.3361471251644
"L0942","Taoyuan","Taiwan",2010-02-15,2010,46,13.8,10.5162881837016
"L0942","Taoyuan","Taiwan",2010-02-16,2010,47,11.9,9.782090905079
"L0942","Taoyuan","Taiwan",2010-02-17,2010,48,11.9,10.1102779376087
