"SID","Location","Province","YEARMODA","YEAR","DaySeq","TEMP","AH"
"L0958","Suzhou","Jiangsu",2010-01-01,2010,1,7.25,4.82903630165732
"L0958","Suzhou","Jiangsu",2010-01-02,2010,2,8.05,5.68004993665978
"L0958","Suzhou","Jiangsu",2010-01-03,2010,3,8.65,6.01972575665066
"L0958","Suzhou","Jiangsu",2010-01-04,2010,4,2.85,3.75089157457669
"L0958","Suzhou","Jiangsu",2010-01-05,2010,5,0,3.14144284385056
"L0958","Suzhou","Jiangsu",2010-01-06,2010,6,1.1,3.12690244541275
"L0958","Suzhou","Jiangsu",2010-01-07,2010,7,1.25,3.18748472655018
"L0958","Suzhou","Jiangsu",2010-01-08,2010,8,2.25,3.41442613234978
"L0958","Suzhou","Jiangsu",2010-01-09,2010,9,6.05,5.12249658760401
"L0958","Suzhou","Jiangsu",2010-01-10,2010,10,5.5,6.41619535371382
"L0958","Suzhou","Jiangsu",2010-01-11,2010,11,1.35,4.01952376627591
"L0958","Suzhou","Jiangsu",2010-01-12,2010,12,1,2.46373331347339
"L0958","Suzhou","Jiangsu",2010-01-13,2010,13,-2.4,1.86914473551664
"L0958","Suzhou","Jiangsu",2010-01-14,2010,14,3,3.52344617762983
"L0958","Suzhou","Jiangsu",2010-01-15,2010,15,4.95,4.301159157386
"L0958","Suzhou","Jiangsu",2010-01-16,2010,16,5.15,4.88228708838916
"L0958","Suzhou","Jiangsu",2010-01-17,2010,17,7.25,5.55421009047538
"L0958","Suzhou","Jiangsu",2010-01-18,2010,18,11.1,7.69208671953906
"L0958","Suzhou","Jiangsu",2010-01-19,2010,19,15.75,10.727438922125
"L0958","Suzhou","Jiangsu",2010-01-20,2010,20,12.95,8.66912853944841
"L0958","Suzhou","Jiangsu",2010-01-21,2010,21,2.45,3.97328240733253
"L0958","Suzhou","Jiangsu",2010-01-22,2010,22,2.2,3.21236663420228
"L0958","Suzhou","Jiangsu",2010-01-23,2010,23,2.95,3.00099422569698
"L0958","Suzhou","Jiangsu",2010-01-24,2010,24,6.6,5.05376519539332
"L0958","Suzhou","Jiangsu",2010-01-25,2010,25,4.15,4.00802757375823
"L0958","Suzhou","Jiangsu",2010-01-26,2010,26,6.65,4.82358654192715
"L0958","Suzhou","Jiangsu",2010-01-27,2010,27,8.4,7.47211916165315
"L0958","Suzhou","Jiangsu",2010-01-28,2010,28,6.8,5.86840997015914
"L0958","Suzhou","Jiangsu",2010-01-29,2010,29,8.9,6.2480598359317
"L0958","Suzhou","Jiangsu",2010-01-30,2010,30,10.9,7.90982046499458
"L0958","Suzhou","Jiangsu",2010-01-31,2010,31,8.35,7.65978035229577
"L0958","Suzhou","Jiangsu",2010-02-01,2010,32,6.15,5.19336750298321
"L0958","Suzhou","Jiangsu",2010-02-02,2010,33,5.35,5.37969285418932
"L0958","Suzhou","Jiangsu",2010-02-03,2010,34,6.3,4.8458798637381
"L0958","Suzhou","Jiangsu",2010-02-04,2010,35,7.2,4.95272128813024
"L0958","Suzhou","Jiangsu",2010-02-05,2010,36,8.1,5.57896723678047
"L0958","Suzhou","Jiangsu",2010-02-06,2010,37,7.7,6.36425002230181
"L0958","Suzhou","Jiangsu",2010-02-07,2010,38,10.1,8.90021938732361
"L0958","Suzhou","Jiangsu",2010-02-08,2010,39,12.85,9.64865969245232
"L0958","Suzhou","Jiangsu",2010-02-09,2010,40,15.35,10.9910049852792
"L0958","Suzhou","Jiangsu",2010-02-10,2010,41,7.1,7.03413428422059
"L0958","Suzhou","Jiangsu",2010-02-11,2010,42,0.9,4.10020201751119
"L0958","Suzhou","Jiangsu",2010-02-12,2010,43,-0.95,3.0345414322917
"L0958","Suzhou","Jiangsu",2010-02-13,2010,44,1.75,3.67069827568521
"L0958","Suzhou","Jiangsu",2010-02-14,2010,45,4,5.57969090694199
"L0958","Suzhou","Jiangsu",2010-02-15,2010,46,2.85,4.4314985841148
"L0958","Suzhou","Jiangsu",2010-02-16,2010,47,1.95,3.46760985677783
"L0958","Suzhou","Jiangsu",2010-02-17,2010,48,3.6,3.84170631740282
"L0958","Suzhou","Jiangsu",2010-02-18,2010,49,2.75,2.81336142827298
"L0958","Suzhou","Jiangsu",2010-02-19,2010,50,5.5,3.4201229836631
"L0958","Suzhou","Jiangsu",2010-02-20,2010,51,8.6,4.28262139314359
"L0958","Suzhou","Jiangsu",2010-02-21,2010,52,12,6.16354933590401
"L0958","Suzhou","Jiangsu",2010-02-22,2010,53,13.35,8.6221447209435
"L0958","Suzhou","Jiangsu",2010-02-23,2010,54,12.55,8.6796665555679
"L0958","Suzhou","Jiangsu",2010-02-24,2010,55,17.45,10.5946805855172
"L0958","Suzhou","Jiangsu",2010-02-25,2010,56,13.95,10.7232744285953
"L0958","Suzhou","Jiangsu",2010-02-26,2010,57,8.15,7.15305383222826
"L0958","Suzhou","Jiangsu",2010-02-27,2010,58,8.75,7.7023247702188
"L0958","Suzhou","Jiangsu",2010-02-28,2010,59,11.65,9.06242142090969
"L0958","Suzhou","Jiangsu",2010-03-01,2010,60,6.15,6.20124102186288
"L0958","Suzhou","Jiangsu",2010-03-02,2010,61,5.85,6.23165380933765
"L0958","Suzhou","Jiangsu",2010-03-03,2010,62,7.25,7.17375765087807
