"SID","Location","Province","YEARMODA","YEAR","DaySeq","TEMP","AH"
"L1078","Guangzhou","Guangdong",2008-01-01,2008,1,11.725,2.42859092867886
"L1078","Guangzhou","Guangdong",2008-01-02,2008,2,10.875,3.15190845040863
"L1078","Guangzhou","Guangdong",2008-01-03,2008,3,12.175,4.30498583825312
"L1078","Guangzhou","Guangdong",2008-01-04,2008,4,13.375,6.08482656007944
"L1078","Guangzhou","Guangdong",2008-01-05,2008,5,14.55,6.45544391899776
"L1078","Guangzhou","Guangdong",2008-01-06,2008,6,16.125,8.88067454327743
"L1078","Guangzhou","Guangdong",2008-01-07,2008,7,18.475,10.1841385407795
"L1078","Guangzhou","Guangdong",2008-01-08,2008,8,20.125,11.9561275901189
"L1078","Guangzhou","Guangdong",2008-01-09,2008,9,21.45,13.7152655881355
"L1078","Guangzhou","Guangdong",2008-01-10,2008,10,21.875,15.0884023167162
"L1078","Guangzhou","Guangdong",2008-01-11,2008,11,22.875,15.090875856756
"L1078","Guangzhou","Guangdong",2008-01-12,2008,12,21.025,12.5156207920941
"L1078","Guangzhou","Guangdong",2008-01-13,2008,13,13.725,7.04997669369818
"L1078","Guangzhou","Guangdong",2008-01-14,2008,14,12.375,5.93047731410984
"L1078","Guangzhou","Guangdong",2008-01-15,2008,15,10.975,5.89132934545522
"L1078","Guangzhou","Guangdong",2008-01-16,2008,16,10.55,5.25097716242172
"L1078","Guangzhou","Guangdong",2008-01-17,2008,17,8.275,6.32533411438167
"L1078","Guangzhou","Guangdong",2008-01-18,2008,18,12.225,7.1748939848145
"L1078","Guangzhou","Guangdong",2008-01-19,2008,19,15.1,9.24681074314608
"L1078","Guangzhou","Guangdong",2008-01-20,2008,20,14.65,9.38921050659871
"L1078","Guangzhou","Guangdong",2008-01-21,2008,21,11.95,7.0935956545919
"L1078","Guangzhou","Guangdong",2008-01-22,2008,22,12.225,6.4691852430942
"L1078","Guangzhou","Guangdong",2008-01-23,2008,23,13.425,5.96442832127132
"L1078","Guangzhou","Guangdong",2008-01-24,2008,24,10.175,5.88642161594954
"L1078","Guangzhou","Guangdong",2008-01-25,2008,25,7.8,7.30974738090413
"L1078","Guangzhou","Guangdong",2008-01-26,2008,26,6.825,6.74243030568361
"L1078","Guangzhou","Guangdong",2008-01-27,2008,27,6.15,6.41905367441214
"L1078","Guangzhou","Guangdong",2008-01-28,2008,28,7.475,7.1282697422815
"L1078","Guangzhou","Guangdong",2008-01-29,2008,29,7.225,6.91121842847074
"L1078","Guangzhou","Guangdong",2008-01-30,2008,30,6.05,6.4772980151978
"L1078","Guangzhou","Guangdong",2008-01-31,2008,31,5.65,6.00238827576624
"L1078","Guangzhou","Guangdong",2008-02-01,2008,32,5.85,6.23637419430531
"L1078","Guangzhou","Guangdong",2008-02-02,2008,33,5.7,5.95125312884506
"L1078","Guangzhou","Guangdong",2008-02-03,2008,34,8.6,5.11682445864691
"L1078","Guangzhou","Guangdong",2008-02-04,2008,35,7.575,6.62461223521956
"L1078","Guangzhou","Guangdong",2008-02-05,2008,36,8.225,6.75203344698647
"L1078","Guangzhou","Guangdong",2008-02-06,2008,37,8.3,5.31352182130564
"L1078","Guangzhou","Guangdong",2008-02-07,2008,38,8.75,5.10297025038227
"L1078","Guangzhou","Guangdong",2008-02-08,2008,39,9.45,4.41974827482077
"L1078","Guangzhou","Guangdong",2008-02-09,2008,40,10.3,3.72497935014585
"L1078","Guangzhou","Guangdong",2008-02-10,2008,41,9.425,4.33367406859143
"L1078","Guangzhou","Guangdong",2008-02-11,2008,42,6.575,5.06747220557089
"L1078","Guangzhou","Guangdong",2008-02-12,2008,43,10.275,3.03200630606903
"L1078","Guangzhou","Guangdong",2008-02-13,2008,44,10.175,3.7164027476316
"L1078","Guangzhou","Guangdong",2008-02-14,2008,45,10.5,3.92461285353684
"L1078","Guangzhou","Guangdong",2008-02-15,2008,46,11.65,4.31724065992189
"L1078","Guangzhou","Guangdong",2008-02-16,2008,47,12.55,6.01036506476677
"L1078","Guangzhou","Guangdong",2008-02-17,2008,48,11.8,7.8064161483169
"L1078","Guangzhou","Guangdong",2008-02-18,2008,49,14.05,8.14208375736495
"L1078","Guangzhou","Guangdong",2008-02-19,2008,50,13.95,7.5953423313713
"L1078","Guangzhou","Guangdong",2008-02-20,2008,51,15.275,8.11237367667797
"L1078","Guangzhou","Guangdong",2008-02-21,2008,52,17.575,9.31756266006407
"L1078","Guangzhou","Guangdong",2008-02-22,2008,53,19.725,11.0871217734941
"L1078","Guangzhou","Guangdong",2008-02-23,2008,54,19.6,12.6416808650371
"L1078","Guangzhou","Guangdong",2008-02-24,2008,55,16.175,11.8878776902888
"L1078","Guangzhou","Guangdong",2008-02-25,2008,56,15.9,11.7683310561946
"L1078","Guangzhou","Guangdong",2008-02-26,2008,57,11,7.14191770949954
"L1078","Guangzhou","Guangdong",2008-02-27,2008,58,12.975,5.07794553365769
"L1078","Guangzhou","Guangdong",2008-02-28,2008,59,15.225,5.68953266735008
"L1078","Guangzhou","Guangdong",2008-03-01,2008,60,22.2715823745611,15.3009015119497
"L1078","Guangzhou","Guangdong",2008-03-02,2008,61,22.4561144491318,15.3100153797645
"L1078","Guangzhou","Guangdong",2008-03-03,2008,62,22.6324275975693,15.2732147187744
"L1078","Guangzhou","Guangdong",2008-03-04,2008,63,22.7848726393999,15.18844418857
"L1078","Guangzhou","Guangdong",2008-03-05,2008,64,22.8977534001311,15.0536173835867
"L1078","Guangzhou","Guangdong",2008-03-06,2008,65,22.949169398715,14.8625465731941
"L1078","Guangzhou","Guangdong",2008-03-07,2008,66,22.904881278473,14.6008874762343
"L1078","Guangzhou","Guangdong",2008-03-08,2008,67,22.7291908130106,14.2533314331972
"L1078","Guangzhou","Guangdong",2008-03-09,2008,68,22.3863997759335,13.8045697845728
"L1078","Guangzhou","Guangdong",2008-03-10,2008,69,21.8408099408473,13.2392938708511
"L1078","Guangzhou","Guangdong",2008-03-11,2008,70,21.0567230813577,12.542195032522
"L1078","Guangzhou","Guangdong",2008-03-12,2008,71,20.0180970830328,11.7086169267797
"L1078","Guangzhou","Guangdong",2008-03-13,2008,72,18.796089652116,10.7811597643101
"L1078","Guangzhou","Guangdong",2008-03-14,2008,73,17.4860310713147,9.81552369848087
"L1078","Guangzhou","Guangdong",2008-03-15,2008,74,16.1832525187496,8.8674093679144
"L1078","Guangzhou","Guangdong",2008-03-16,2008,75,14.9830851725415,7.99251741123327
"L1078","Guangzhou","Guangdong",2008-03-17,2008,76,13.980860210811,7.24654846706001
"L1078","Guangzhou","Guangdong",2008-03-18,2008,77,13.2629298672717,6.68041746099655
"L1078","Guangzhou","Guangdong",2008-03-19,2008,78,12.8195166744454,6.29380287683236
"L1078","Guangzhou","Guangdong",2008-03-20,2008,79,12.5825294104012,6.05530238514472
"L1078","Guangzhou","Guangdong",2008-03-21,2008,80,12.4830586468993,5.93307755841192
"L1078","Guangzhou","Guangdong",2008-03-22,2008,81,12.4521949556998,5.89528996911224
"L1078","Guangzhou","Guangdong",2008-03-23,2008,82,12.4210289085628,5.91010118972398
"L1078","Guangzhou","Guangdong",2008-03-24,2008,83,12.3218741580233,5.94595879124268
"L1078","Guangzhou","Guangdong",2008-03-25,2008,84,12.1309344120393,5.98157335511388
"L1078","Guangzhou","Guangdong",2008-03-26,2008,85,11.879398220535,6.00851281742186
"L1078","Guangzhou","Guangdong",2008-03-27,2008,86,11.601931561587,6.01915825702601
"L1078","Guangzhou","Guangdong",2008-03-28,2008,87,11.3332004132717,6.00589075278572
"L1078","Guangzhou","Guangdong",2008-03-29,2008,88,11.1078707536657,5.96109138356037
"L1078","Guangzhou","Guangdong",2008-03-30,2008,89,10.9605737734904,5.87715396221981
"L1078","Guangzhou","Guangdong",2008-03-31,2008,90,10.9065461694388,5.75357171143332
"L1078","Guangzhou","Guangdong",2008-04-01,2008,91,10.9094067258447,5.60873273776344
"L1078","Guangzhou","Guangdong",2008-04-02,2008,92,10.9242812204222,5.46413403704477
"L1078","Guangzhou","Guangdong",2008-04-03,2008,93,10.9062954308855,5.3412726051119
"L1078","Guangzhou","Guangdong",2008-04-04,2008,94,10.8105751349486,5.26164543779942
"L1078","Guangzhou","Guangdong",2008-04-05,2008,95,10.5922461103257,5.24674953094193
"L1078","Guangzhou","Guangdong",2008-04-06,2008,96,10.2193682341782,5.31342099901382
"L1078","Guangzhou","Guangdong",2008-04-07,2008,97,9.73861090814069,5.45016853649011
"L1078","Guangzhou","Guangdong",2008-04-08,2008,98,9.22617963639987,5.63485732374577
"L1078","Guangzhou","Guangdong",2008-04-09,2008,99,8.75833290121369,5.84533345018572
"L1078","Guangzhou","Guangdong",2008-04-10,2008,100,8.4113291848401,6.05944300521486
"L1078","Guangzhou","Guangdong",2008-04-11,2008,101,8.26142696953708,6.25503207823812
"L1078","Guangzhou","Guangdong",2008-04-12,2008,102,8.3801706200548,6.41136337814037
"L1078","Guangzhou","Guangdong",2008-04-13,2008,103,8.76456521669892,6.53009909837415
"L1078","Guangzhou","Guangdong",2008-04-14,2008,104,9.35211701776395,6.63078117131583
"L1078","Guangzhou","Guangdong",2008-04-15,2008,105,10.0786742324799,6.73344978264145
"L1078","Guangzhou","Guangdong",2008-04-16,2008,106,10.880085070077,6.85814511802705
"L1078","Guangzhou","Guangdong",2008-04-17,2008,107,11.6921977397851,7.02490736314868
"L1078","Guangzhou","Guangdong",2008-04-18,2008,108,12.4511957451062,7.25356288862695
"L1078","Guangzhou","Guangdong",2008-04-19,2008,109,13.1171590904829,7.54869941622116
"L1078","Guangzhou","Guangdong",2008-04-20,2008,110,13.6895609478276,7.88978389172008
"L1078","Guangzhou","Guangdong",2008-04-21,2008,111,14.1715539872346,8.25393686798597
"L1078","Guangzhou","Guangdong",2008-04-22,2008,112,14.566290878798,8.61827889788109
"L1078","Guangzhou","Guangdong",2008-04-23,2008,113,14.8769242926119,8.9599305342677
"L1078","Guangzhou","Guangdong",2008-04-24,2008,114,15.1066068562189,9.25601245199113
"L1078","Guangzhou","Guangdong",2008-04-25,2008,115,15.2573424699887,9.48693838114811
"L1078","Guangzhou","Guangdong",2008-04-26,2008,116,15.32699113165,9.6450013741667
"L1078","Guangzhou","Guangdong",2008-04-27,2008,117,15.3124787428102,9.72517225606638
