"SID","Location","Province","YEARMODA","YEAR","DaySeq","TEMP","AH"
"L1135","Yunfu","Guangdong",2015-01-01,2015,1,13.75,6.41400768163088
"L1135","Yunfu","Guangdong",2015-01-02,2015,2,12.85,6.54710694504639
"L1135","Yunfu","Guangdong",2015-01-03,2015,3,14.1,7.94215558539276
"L1135","Yunfu","Guangdong",2015-01-04,2015,4,15.85,10.1362277327953
"L1135","Yunfu","Guangdong",2015-01-05,2015,5,18,13.4885390374488
"L1135","Yunfu","Guangdong",2015-01-06,2015,6,18.55,12.7266656049627
"L1135","Yunfu","Guangdong",2015-01-07,2015,7,12.5,7.8652662444308
"L1135","Yunfu","Guangdong",2015-01-08,2015,8,13.2,7.00336069212494
"L1135","Yunfu","Guangdong",2015-01-09,2015,9,13.65,7.0652652579193
"L1135","Yunfu","Guangdong",2015-01-10,2015,10,12.5,7.43468388143025
"L1135","Yunfu","Guangdong",2015-01-11,2015,11,11.1,8.89868662826296
"L1135","Yunfu","Guangdong",2015-01-12,2015,12,10.5,9.25778018119908
"L1135","Yunfu","Guangdong",2015-01-13,2015,13,12,8.26609247679269
"L1135","Yunfu","Guangdong",2015-01-14,2015,14,12.1,7.51735012721581
"L1135","Yunfu","Guangdong",2015-01-15,2015,15,11.45,7.52558203698525
"L1135","Yunfu","Guangdong",2015-01-16,2015,16,14.15,8.06190761852211
"L1135","Yunfu","Guangdong",2015-01-17,2015,17,13.9,7.28205069739394
"L1135","Yunfu","Guangdong",2015-01-18,2015,18,13.85,7.77265246444566
"L1135","Yunfu","Guangdong",2015-01-19,2015,19,13.45,6.67268199282848
"L1135","Yunfu","Guangdong",2015-01-20,2015,20,15,8.2027791300071
"L1135","Yunfu","Guangdong",2015-01-21,2015,21,15.9,9.29676069079269
"L1135","Yunfu","Guangdong",2015-01-22,2015,22,15,7.43278245802142
"L1135","Yunfu","Guangdong",2015-01-23,2015,23,16.4,8.40214285759163
"L1135","Yunfu","Guangdong",2015-01-24,2015,24,17.35,11.502473439337
"L1135","Yunfu","Guangdong",2015-01-25,2015,25,18.15,12.5633906528283
"L1135","Yunfu","Guangdong",2015-01-26,2015,26,18.35,12.6748020977939
"L1135","Yunfu","Guangdong",2015-01-27,2015,27,18.1,12.9338733714749
"L1135","Yunfu","Guangdong",2015-01-28,2015,28,17.55,12.067902593135
"L1135","Yunfu","Guangdong",2015-01-29,2015,29,14.75,9.69638724595736
"L1135","Yunfu","Guangdong",2015-01-30,2015,30,10,6.82853980725592
"L1135","Yunfu","Guangdong",2015-01-31,2015,31,9.95,6.73734411573335
"L1135","Yunfu","Guangdong",2015-02-01,2015,32,10.95,7.48729133639689
"L1135","Yunfu","Guangdong",2015-02-02,2015,33,14.8,8.93466115204463
"L1135","Yunfu","Guangdong",2015-02-03,2015,34,15.05,9.21895261758636
"L1135","Yunfu","Guangdong",2015-02-04,2015,35,10.3,7.20975703459435
"L1135","Yunfu","Guangdong",2015-02-05,2015,36,9.3,5.93090411773219
"L1135","Yunfu","Guangdong",2015-02-06,2015,37,10.6,6.39466525543242
"L1135","Yunfu","Guangdong",2015-02-07,2015,38,11.5,7.65691896579483
"L1135","Yunfu","Guangdong",2015-02-08,2015,39,12.85,5.80700424029425
"L1135","Yunfu","Guangdong",2015-02-09,2015,40,14.1,5.95404855651491
"L1135","Yunfu","Guangdong",2015-02-10,2015,41,14.25,7.56732425428444
"L1135","Yunfu","Guangdong",2015-02-11,2015,42,12.5,8.23076607155199
"L1135","Yunfu","Guangdong",2015-02-12,2015,43,14.45,8.564215781963
"L1135","Yunfu","Guangdong",2015-02-13,2015,44,16.65,8.52777154176098
"L1135","Yunfu","Guangdong",2015-02-14,2015,45,15.2,10.2672778229351
"L1135","Yunfu","Guangdong",2015-02-15,2015,46,17.25,12.8013268042668
"L1135","Yunfu","Guangdong",2015-02-16,2015,47,18.55,13.3794414219848
"L1135","Yunfu","Guangdong",2015-02-17,2015,48,20.2,13.8628819113455
"L1135","Yunfu","Guangdong",2015-02-18,2015,49,20.25,13.34331631584
"L1135","Yunfu","Guangdong",2015-02-19,2015,50,19.6,13.2469810357903
"L1135","Yunfu","Guangdong",2015-02-20,2015,51,20.2,14.3518455430804
