"SID","Location","Province","YEARMODA","YEAR","DaySeq","TEMP","AH"
"L1193",NA,"Taiwan",2010-01-01,2010,1,18.1666666666667,10.997210423062
"L1193",NA,"Taiwan",2010-01-02,2010,2,19.2666666666667,12.7615530894981
"L1193",NA,"Taiwan",2010-01-03,2010,3,18.0666666666667,11.7424198281004
"L1193",NA,"Taiwan",2010-01-04,2010,4,19.1333333333333,11.5438393279535
"L1193",NA,"Taiwan",2010-01-05,2010,5,17.9333333333333,10.6071817220608
"L1193",NA,"Taiwan",2010-01-06,2010,6,17.1,11.0043685678644
"L1193",NA,"Taiwan",2010-01-07,2010,7,17.1333333333333,10.773910182719
"L1193",NA,"Taiwan",2010-01-08,2010,8,15.7666666666667,10.5526099555068
"L1193",NA,"Taiwan",2010-01-09,2010,9,17.8333333333333,11.3228612985875
"L1193",NA,"Taiwan",2010-01-10,2010,10,19.1,10.9028082454824
"L1193",NA,"Taiwan",2010-01-11,2010,11,18.5666666666667,11.3583425096331
"L1193",NA,"Taiwan",2010-01-12,2010,12,12.7333333333333,8.02305095371255
"L1193",NA,"Taiwan",2010-01-13,2010,13,13.8333333333333,5.94341798848165
"L1193",NA,"Taiwan",2010-01-14,2010,14,15.1666666666667,7.83116210078247
"L1193",NA,"Taiwan",2010-01-15,2010,15,16.0666666666667,8.86984015526066
"L1193",NA,"Taiwan",2010-01-16,2010,16,17.3666666666667,10.2252680492657
"L1193",NA,"Taiwan",2010-01-17,2010,17,17.8,11.185491434395
"L1193",NA,"Taiwan",2010-01-18,2010,18,19.1,11.757193330172
"L1193",NA,"Taiwan",2010-01-19,2010,19,20.4666666666667,12.1050841370301
"L1193",NA,"Taiwan",2010-01-20,2010,20,22.5,12.6197950044977
"L1193",NA,"Taiwan",2010-01-21,2010,21,21.8333333333333,13.8274343530929
"L1193",NA,"Taiwan",2010-01-22,2010,22,18.4333333333333,11.6770574860471
"L1193",NA,"Taiwan",2010-01-23,2010,23,18.1,11.3567174383406
"L1193",NA,"Taiwan",2010-01-24,2010,24,20.1333333333333,13.5731788741305
"L1193",NA,"Taiwan",2010-01-25,2010,25,19.9666666666667,13.9841986646695
"L1193",NA,"Taiwan",2010-01-26,2010,26,17.9,11.1222439715919
"L1193",NA,"Taiwan",2010-01-27,2010,27,20.9,12.9980072204114
"L1193",NA,"Taiwan",2010-01-28,2010,28,21.9333333333333,14.7109841312612
"L1193",NA,"Taiwan",2010-01-29,2010,29,20.8333333333333,13.6482481158922
"L1193",NA,"Taiwan",2010-01-30,2010,30,20.9,13.9837631081922
"L1193",NA,"Taiwan",2010-01-31,2010,31,23.0333333333333,14.8649819518907
"L1193",NA,"Taiwan",2010-02-01,2010,32,21.8,14.4342093835055
"L1193",NA,"Taiwan",2010-02-02,2010,33,20.1333333333333,13.2247957790361
"L1193",NA,"Taiwan",2010-02-03,2010,34,20.0666666666667,13.0183584371098
"L1193",NA,"Taiwan",2010-02-04,2010,35,20.3,13.186089733075
"L1193",NA,"Taiwan",2010-02-05,2010,36,20.1666666666667,13.5728924642093
"L1193",NA,"Taiwan",2010-02-06,2010,37,20.6,14.4061068350151
"L1193",NA,"Taiwan",2010-02-07,2010,38,21.7666666666667,14.8042105361538
"L1193",NA,"Taiwan",2010-02-08,2010,39,22.2,15.1079083054064
"L1193",NA,"Taiwan",2010-02-09,2010,40,23.1666666666667,15.8458685087946
"L1193",NA,"Taiwan",2010-02-10,2010,41,24.1666666666667,16.6714686747735
"L1193",NA,"Taiwan",2010-02-11,2010,42,25.1333333333333,15.6391588880269
"L1193",NA,"Taiwan",2010-02-12,2010,43,15.8,10.5913768616613
"L1193",NA,"Taiwan",2010-02-13,2010,44,16.1333333333333,10.6021030865366
"L1193",NA,"Taiwan",2010-02-14,2010,45,20.3333333333333,13.4601397915129
"L1193",NA,"Taiwan",2010-02-15,2010,46,17.8,11.8866386805845
"L1193",NA,"Taiwan",2010-02-16,2010,47,14.4333333333333,10.322227201021
"L1193",NA,"Taiwan",2010-02-17,2010,48,14.4666666666667,10.2245182131482
"L1193",NA,"Taiwan",2010-02-18,2010,49,13.2,9.34048183592012
"L1193",NA,"Taiwan",2010-02-19,2010,50,12.6333333333333,9.93880409051494
"L1193",NA,"Taiwan",2010-02-20,2010,51,16.7666666666667,10.6700202125307
"L1193",NA,"Taiwan",2010-02-21,2010,52,18.9,11.8465657662898
"L1193",NA,"Taiwan",2010-02-22,2010,53,18.7666666666667,12.7552060397854
"L1193",NA,"Taiwan",2010-02-23,2010,54,21.1666666666667,12.8483748771366
"L1193",NA,"Taiwan",2010-02-24,2010,55,23.0333333333333,13.3688580691326
"L1193",NA,"Taiwan",2010-02-25,2010,56,24.8666666666667,16.3836222251472
"L1193",NA,"Taiwan",2010-02-26,2010,57,25.9,16.9481807764022
"L1193",NA,"Taiwan",2010-02-27,2010,58,25.3666666666667,17.8390021996072
"L1193",NA,"Taiwan",2010-02-28,2010,59,24.8,16.8301806538333
"L1193",NA,"Taiwan",2010-03-01,2010,60,25.5333333333333,17.1371008662982
"L1193",NA,"Taiwan",2010-03-02,2010,61,24.9666666666667,17.0530491950061
"L1193",NA,"Taiwan",2010-03-03,2010,62,24.3333333333333,16.3704974531428
"L1193",NA,"Taiwan",2010-03-04,2010,63,25.9666666666667,18.0099310316624
"L1193",NA,"Taiwan",2010-03-05,2010,64,25.7333333333333,17.2683559743188
"L1193",NA,"Taiwan",2010-03-06,2010,65,25.5666666666667,16.5329709779717
"L1193",NA,"Taiwan",2010-03-07,2010,66,20.5666666666667,12.5277601110535
"L1193",NA,"Taiwan",2010-03-08,2010,67,20.9,12.9795351071261
"L1193",NA,"Taiwan",2010-03-09,2010,68,14.5333333333333,9.12211658299465
"L1193",NA,"Taiwan",2010-03-10,2010,69,12.7333333333333,7.05762006433092
"L1193",NA,"Taiwan",2010-03-11,2010,70,17.4,9.01795958221932
"L1193",NA,"Taiwan",2010-03-12,2010,71,20.6666666666667,11.7147073794232
"L1193",NA,"Taiwan",2010-03-13,2010,72,23.7,15.1997826451323
"L1193",NA,"Taiwan",2010-03-14,2010,73,25.9333333333333,18.0275293038771
"L1193",NA,"Taiwan",2010-03-15,2010,74,25.3666666666667,18.1627330427741
"L1193",NA,"Taiwan",2010-03-16,2010,75,19.2333333333333,11.5200549116439
"L1193",NA,"Taiwan",2010-03-17,2010,76,20.9666666666667,12.9801303351526
"L1193",NA,"Taiwan",2010-03-18,2010,77,22.4333333333333,14.316087810382
"L1193",NA,"Taiwan",2010-03-19,2010,78,23.6,15.6545660993521
"L1193",NA,"Taiwan",2010-03-20,2010,79,25.6333333333333,18.0419996052052
"L1193",NA,"Taiwan",2010-03-21,2010,80,24.2666666666667,15.5184522599697
"L1193",NA,"Taiwan",2010-03-22,2010,81,24.7,15.8581576761617
"L1193",NA,"Taiwan",2010-03-23,2010,82,26.4333333333333,17.8849331657444
"L1193",NA,"Taiwan",2010-03-24,2010,83,25.5,18.1117267434234
"L1193",NA,"Taiwan",2010-03-25,2010,84,17.1333333333333,9.74637158855378
"L1193",NA,"Taiwan",2010-03-26,2010,85,17.1,8.79347586539996
"L1193",NA,"Taiwan",2010-03-27,2010,86,20.0666666666667,11.0925811871623
"L1193",NA,"Taiwan",2010-03-28,2010,87,20.1666666666667,10.2766201143906
"L1193",NA,"Taiwan",2010-03-29,2010,88,21.6666666666667,11.0401040119001
"L1193",NA,"Taiwan",2010-03-30,2010,89,21.9333333333333,12.9331743517513
"L1193",NA,"Taiwan",2010-03-31,2010,90,23.3666666666667,13.2171765119931
"L1193",NA,"Taiwan",2010-04-01,2010,91,25.3333333333333,16.9131160369674
"L1193",NA,"Taiwan",2010-04-02,2010,92,21.1666666666667,13.7457770112062
"L1193",NA,"Taiwan",2010-04-03,2010,93,21.3,13.8688117422478
"L1193",NA,"Taiwan",2010-04-04,2010,94,22.6333333333333,15.7378951546116
"L1193",NA,"Taiwan",2010-04-05,2010,95,23.4,17.1033682436411
"L1193",NA,"Taiwan",2010-04-06,2010,96,23.7666666666667,17.3369849400368
"L1193",NA,"Taiwan",2010-04-07,2010,97,20.4333333333333,12.5412930664795
"L1193",NA,"Taiwan",2010-04-08,2010,98,19.4333333333333,13.5655253898024
"L1193",NA,"Taiwan",2010-04-09,2010,99,22.0333333333333,14.8140079474461
"L1193",NA,"Taiwan",2010-04-10,2010,100,24.4666666666667,14.6717413304631
"L1193",NA,"Taiwan",2010-04-11,2010,101,26.0666666666667,17.4023816518799
"L1193",NA,"Taiwan",2010-04-12,2010,102,27.5,17.7954101771036
"L1193",NA,"Taiwan",2010-04-13,2010,103,24.3666666666667,15.4285810173023
"L1193",NA,"Taiwan",2010-04-14,2010,104,22.7,14.7933029443074
"L1193",NA,"Taiwan",2010-04-15,2010,105,18.6333333333333,12.6059200856436
"L1193",NA,"Taiwan",2010-04-16,2010,106,20.1,12.1925163328767
"L1193",NA,"Taiwan",2010-04-17,2010,107,22.3333333333333,14.068936508449
"L1193",NA,"Taiwan",2010-04-18,2010,108,23.9666666666667,16.4343617572826
"L1193",NA,"Taiwan",2010-04-19,2010,109,26.3333333333333,18.4332561079816
"L1193",NA,"Taiwan",2010-04-20,2010,110,26.8,18.9942821005328
"L1193",NA,"Taiwan",2010-04-21,2010,111,27.5333333333333,18.8769829854212
"L1193",NA,"Taiwan",2010-04-22,2010,112,27.6,17.6538672409618
"L1193",NA,"Taiwan",2010-04-23,2010,113,18.9333333333333,13.2975901406068
"L1193",NA,"Taiwan",2010-04-24,2010,114,20.1333333333333,12.5712116410218
"L1193",NA,"Taiwan",2010-04-25,2010,115,23.3666666666667,14.6175390080525
"L1193",NA,"Taiwan",2010-04-26,2010,116,24.9,16.0343869444652
"L1193",NA,"Taiwan",2010-04-27,2010,117,23,15.7149818390858
"L1193",NA,"Taiwan",2010-04-28,2010,118,22.9,16.9797317131979
"L1193",NA,"Taiwan",2010-04-29,2010,119,23.1333333333333,15.3217404241209
"L1193",NA,"Taiwan",2010-04-30,2010,120,22.5333333333333,14.1225418382728
"L1193",NA,"Taiwan",2010-05-01,2010,121,24.6666666666667,15.3029830432768
"L1193",NA,"Taiwan",2010-05-02,2010,122,23.5,14.8398807272124
"L1193",NA,"Taiwan",2010-05-03,2010,123,24.8,16.8351496012839
"L1193",NA,"Taiwan",2010-05-04,2010,124,26.3,16.6454569976888
"L1193",NA,"Taiwan",2010-05-05,2010,125,27.7,19.8112563915105
"L1193",NA,"Taiwan",2010-05-06,2010,126,27.6,20.3376213231175
"L1193",NA,"Taiwan",2010-05-07,2010,127,26.8666666666667,20.1792880149343
"L1193",NA,"Taiwan",2010-05-08,2010,128,26.8,20.6710142363984
"L1193",NA,"Taiwan",2010-05-09,2010,129,28.2666666666667,20.6575981460988
"L1193",NA,"Taiwan",2010-05-10,2010,130,26.6,18.0379433095304
"L1193",NA,"Taiwan",2010-05-11,2010,131,25.6,17.6082473508836
"L1193",NA,"Taiwan",2010-05-12,2010,132,26.2666666666667,17.7046059508206
"L1193",NA,"Taiwan",2010-05-13,2010,133,26.8666666666667,18.5634744421398
"L1193",NA,"Taiwan",2010-05-14,2010,134,26.6,18.8601952391705
"L1193",NA,"Taiwan",2010-05-15,2010,135,26,18.595540045243
"L1193",NA,"Taiwan",2010-05-16,2010,136,26.6666666666667,19.7308387347589
"L1193",NA,"Taiwan",2010-05-17,2010,137,27.6666666666667,20.0286898916957
"L1193",NA,"Taiwan",2010-05-18,2010,138,28.5333333333333,20.3775166636474
"L1193",NA,"Taiwan",2010-05-19,2010,139,28.6333333333333,19.5084409056297
