"SID","Location","Province","YEARMODA","YEAR","DaySeq","TEMP","AH"
"L1240","Wuhan","Hubei",2014-01-01,2014,1,8.45,4.02836895644301
"L1240","Wuhan","Hubei",2014-01-02,2014,2,8.95,4.19856647762044
"L1240","Wuhan","Hubei",2014-01-03,2014,3,7.85,3.15318419687714
"L1240","Wuhan","Hubei",2014-01-04,2014,4,6.75,3.00453310974542
"L1240","Wuhan","Hubei",2014-01-05,2014,5,9.3,3.09311007238923
"L1240","Wuhan","Hubei",2014-01-06,2014,6,7.3,5.40366752785985
"L1240","Wuhan","Hubei",2014-01-07,2014,7,4.9,6.31552507628998
"L1240","Wuhan","Hubei",2014-01-08,2014,8,3.3,4.77605169384516
"L1240","Wuhan","Hubei",2014-01-09,2014,9,3.15,4.28606952823529
"L1240","Wuhan","Hubei",2014-01-10,2014,10,4.15,5.05191435620183
"L1240","Wuhan","Hubei",2014-01-11,2014,11,3.85,5.70411198990579
"L1240","Wuhan","Hubei",2014-01-12,2014,12,4.55,4.36154924794014
"L1240","Wuhan","Hubei",2014-01-13,2014,13,4,4.30311145751614
"L1240","Wuhan","Hubei",2014-01-14,2014,14,3.65,4.60120393350412
"L1240","Wuhan","Hubei",2014-01-15,2014,15,4.85,4.05877195185422
"L1240","Wuhan","Hubei",2014-01-16,2014,16,7,4.45107050311004
"L1240","Wuhan","Hubei",2014-01-17,2014,17,5.85,4.14387799974254
"L1240","Wuhan","Hubei",2014-01-18,2014,18,4.15,3.12336039579689
"L1240","Wuhan","Hubei",2014-01-19,2014,19,6,3.8383672923165
"L1240","Wuhan","Hubei",2014-01-20,2014,20,5.55,2.16910926171252
"L1240","Wuhan","Hubei",2014-01-21,2014,21,3.85,2.32237575368972
"L1240","Wuhan","Hubei",2014-01-22,2014,22,6.15,2.76261376754227
"L1240","Wuhan","Hubei",2014-01-23,2014,23,11.25,3.30758328412055
"L1240","Wuhan","Hubei",2014-01-24,2014,24,13.5,3.89378141202591
"L1240","Wuhan","Hubei",2014-01-25,2014,25,8.95,3.62459767689882
"L1240","Wuhan","Hubei",2014-01-26,2014,26,8.6,5.00550491845645
"L1240","Wuhan","Hubei",2014-01-27,2014,27,8.85,5.5753816100988
"L1240","Wuhan","Hubei",2014-01-28,2014,28,8.55,6.6460694157703
"L1240","Wuhan","Hubei",2014-01-29,2014,29,7.25,7.45754007383746
"L1240","Wuhan","Hubei",2014-01-30,2014,30,10.7,8.17157691121007
"L1240","Wuhan","Hubei",2014-01-31,2014,31,18.2,9.87485915587168
